Run_s	SRA_Sample_s	Sample_Name_s	histological_type_s	is_tumor_s	sex_s	SRA_Study_s
SRR598124	SRS332930	GTEX-NPJ8-0011-R4a-SM-2HML3	Brain	No	male	SRP012682
SRR598484	SRS332928	GTEX-PW2O-0526-SM-2I3DX	Lung	No	male	SRP012682
SRR599192	SRS332932	GTEX-N7MT-0011-R5a-SM-2I3G6	Brain	No	female	SRP012682
SRR601925	SRS332935	GTEX-OHPK-0526-SM-2HMJB	Lung	No	female	SRP012682
SRR627299	SRS377738	GTEX-N7MT-1226-SM-26GMC	Brain	No	female	SRP012682
SRR627419	SRS377761	GTEX-N7MS-0007-SM-26GME	Blood	No	male	SRP012682
SRR627435	SRS377762	GTEX-NPJ8-0007-SM-26GMW	Blood	No	male	SRP012682
SRR627427	SRS377763	GTEX-N7MT-0126-SM-26GMS	Lung	No	female	SRP012682
SRR627433	SRS377764	GTEX-N7MS-2526-SM-26GMA	Brain	No	male	SRP012682
SRR627431	SRS377765	GTEX-O5YV-2026-SM-26GMK	Muscle	No	female	SRP012682
SRR627429	SRS377766	GTEX-N7MT-1226-SM-26GMT	Brain	No	female	SRP012682
SRR627421	SRS377767	GTEX-NPJ8-1526-SM-26GMH	Brain	No	male	SRP012682
SRR627425	SRS377768	GTEX-N7MS-2425-SM-26GMD	Brain	No	male	SRP012682
SRR627464	SRS377769	GTEX-O5YV-0526-SM-26GN1	Lung	No	female	SRP012682
SRR627423	SRS377770	GTEX-N7MS-0007-SM-26GMV	Blood	No	male	SRP012682
SRR627449	SRS377771	GTEX-NPJ8-1526-SM-26GMY	Brain	No	male	SRP012682
SRR627457	SRS377772	GTEX-NPJ8-0326-SM-26GMX	Lung	No	male	SRP012682
SRR627445	SRS377773	GTEX-NPJ8-0326-SM-26GMG	Lung	No	male	SRP012682
SRR627447	SRS377774	GTEX-N7MT-0126-SM-26GMB	Lung	No	female	SRP012682
SRR627462	SRS377775	GTEX-NPJ8-2626-SM-26GMZ	Brain	No	male	SRP012682
SRR627437	SRS377776	GTEX-O5YV-0526-SM-26GMJ	Lung	No	female	SRP012682
SRR627441	SRS377777	GTEX-NPJ8-0007-SM-26GMF	Blood	No	male	SRP012682
SRR627451	SRS377778	GTEX-N7MS-2526-SM-26GMR	Brain	No	male	SRP012682
SRR627439	SRS377779	GTEX-O5YV-2026-SM-26GN2	Muscle	No	female	SRP012682
SRR627443	SRS377780	K-562-SM-26GMQ	Bone Marrow	Yes	female	SRP012682
SRR627455	SRS377781	GTEX-N7MS-2425-SM-26GMU	Brain	No	male	SRP012682
SRR627453	SRS377782	GTEX-NPJ8-2626-SM-26GMI	Brain	No	male	SRP012682
SRR595926	SRS332984	GTEX-N7MS-0011-R10A-SM-2HMJK	Brain	No	male	SRP012682
SRR598253	SRS332955	GTEX-Q2AG-0011-R6A-SM-2HML7	Brain	No	female	SRP012682
SRR598276	SRS332959	GTEX-N7MS-0011-R7a-SM-2HMKN	Brain	No	male	SRP012682
SRR598428	SRS332983	GTEX-Q2AG-0011-R5A-SM-2HMJH	Brain	No	female	SRP012682
SRR598695	SRS332976	GTEX-Q2AG-1026-SM-2HMJX	Lung	No	female	SRP012682
SRR598749	SRS332987	K-562-SM-2D7VY	Bone Marrow	Yes	female	SRP012682
SRR599281	SRS332973	GTEX-OXRO-0006-SM-2I5EM	Blood	No	female	SRP012682
SRR598894	SRS332962	GTEX-OHPN-0011-R7A-SM-2I5FI	Brain	No	female	SRP012682
SRR598862	SRS332978	GTEX-Q2AG-0011-R8A-SM-2HMK5	Brain	No	female	SRP012682
SRR599510	SRS332990	GTEX-OHPN-0011-R10A-SM-2I5FL	Brain	No	female	SRP012682
SRR600445	SRS332942	GTEX-Q2AG-0011-R4A-SM-2HMKA	Brain	No	female	SRP012682
SRR600493	SRS332949	GTEX-PSDG-0226-SM-2I5FR	Skin	No	male	SRP012682
SRR601068	SRS332936	GTEX-Q2AG-0126-SM-2HMLB	Skin	No	female	SRP012682
SRR608064	SRS332967	GTEX-P4PQ-2626-SM-2HMKM	Thyroid	No	male	SRP012682
SRR608096	SRS332985	GTEX-N7MS-0826-SM-2HML4	Heart	No	male	SRP012682
SRR607406	SRS332951	GTEX-NPJ7-0011-R5a-SM-2I5GY	Brain	No	female	SRP012682
SRR602598	SRS332939	GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain	No	female	SRP012682
SRR602622	SRS332981	GTEX-NL4W-0011-R5a-SM-2I3GD	Brain	No	male	SRP012682
SRR602753	SRS332971	GTEX-OHPN-2626-SM-2I5H1	Brain	No	female	SRP012682
SRR607586	SRS332940	GTEX-OXRL-0526-SM-2I3EZ	Lung	No	male	SRP012682
SRR604002	SRS332963	GTEX-PW2O-0006-SM-2I3DV	Blood	No	male	SRP012682
SRR603942	SRS332958	GTEX-OHPJ-0526-SM-2HMJR	Thyroid	No	male	SRP012682
SRR603397	SRS332972	GTEX-NPJ7-0011-R2a-SM-2I3GF	Brain	No	female	SRP012682
SRR608288	SRS332941	GTEX-OXRK-0926-SM-2HMKP	Lung	No	female	SRP012682
SRR608344	SRS332947	GTEX-OIZH-0005-SM-2HMJN	Blood	No	male	SRP012682
SRR604653	SRS332982	GTEX-P4QT-0126-SM-2I3FL	Skin	No	female	SRP012682
SRR608662	SRS332950	GTEX-OHPN-2526-SM-2I5H3	Brain	No	female	SRP012682
SRR599025	SRS333051	GTEX-QMRM-0526-SM-2I5GA	Heart	No	male	SRP012682
