Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR1071717	44651826	0	2566435	0	0	0	0	0	44651826	0	100.0	nan	42085391	0	21046516	0	21038875	0	42051528	0	99.92	nan	42051528	0	33863	0	0.08	nan	0	0	0	0	44651826
SRR1079830	54810101	0	2885159	0	0	0	0	0	54810101	0	100.0	nan	51924942	0	25967060	0	25957882	0	51882732	0	99.92	nan	51882732	0	42210	0	0.08	nan	0	0	0	0	54810101
SRR1085402	55848512	0	3709268	0	0	0	0	0	55848512	0	100.0	nan	52139244	0	26069844	0	26069400	0	52084062	0	99.89	nan	52084062	0	55182	0	0.11	nan	0	0	0	0	55848512
SRR1086236	72559216	0	4056525	0	0	0	0	0	72559216	0	100.0	nan	68502691	0	34259989	0	34242702	0	68435120	0	99.9	nan	68435120	0	67571	0	0.1	nan	0	0	0	0	72559216
SRR1093861	71632788	0	4919367	0	0	0	0	0	71632788	0	100.0	nan	66713421	0	33362059	0	33351362	0	66661738	0	99.92	nan	66661738	0	51683	0	0.08	nan	0	0	0	0	71632788
SRR1095383	74174240	0	5789141	0	0	0	0	0	74174240	0	100.0	nan	68385099	0	34196882	0	34188217	0	68348100	0	99.95	nan	68348100	0	36999	0	0.05	nan	0	0	0	0	74174240
SRR1120296	59350733	0	3565452	0	0	0	0	0	59350733	0	100.0	nan	55785281	0	27900887	0	27884394	0	55723846	0	99.89	nan	55723846	0	61435	0	0.11	nan	0	0	0	0	59350733
SRR595926	114668800	0	7986386	0	0	0	0	0	114668800	0	100.0	nan	106682414	0	53415227	0	53267187	0	106403546	0	99.74	nan	106403546	0	278868	0	0.26	nan	0	0	0	0	114668800
SRR598253	116725316	0	7203575	0	0	0	0	0	116725316	0	100.0	nan	109521741	0	54851741	0	54670000	0	109201866	0	99.71	nan	109201866	0	319875	0	0.29	nan	0	0	0	0	116725316
SRR600417	97197521	0	6529884	0	0	0	0	0	97197521	0	100.0	nan	90667637	0	45666700	0	45000937	0	89909526	0	99.16	nan	89909526	0	758111	0	0.84	nan	0	0	0	0	97197521
SRR600584	70726257	0	3819219	0	0	0	0	0	70726257	0	100.0	nan	66907038	0	33507325	0	33399713	0	66720752	0	99.72	nan	66720752	0	186286	0	0.28	nan	0	0	0	0	70726257
SRR600900	93072714	0	5612561	0	0	0	0	0	93072714	0	100.0	nan	87460153	0	43749824	0	43710329	0	87325188	0	99.85	nan	87325188	0	134965	0	0.15	nan	0	0	0	0	93072714
SRR601900	64311262	0	3558735	0	0	0	0	0	64311262	0	100.0	nan	60752527	0	30433149	0	30319378	0	60564654	0	99.69	nan	60564654	0	187873	0	0.31	nan	0	0	0	0	64311262
SRR603397	82140496	0	5115536	0	0	0	0	0	82140496	0	100.0	nan	77024960	0	38529281	0	38495679	0	76905580	0	99.85	nan	76905580	0	119380	0	0.15	nan	0	0	0	0	82140496
SRR613723	78683172	0	31651154	0	0	0	0	0	78683172	0	100.0	nan	47032018	0	23537010	0	23495008	0	46895202	0	99.71	nan	46895202	0	136816	0	0.29	nan	0	0	0	0	78683172
SRR614059	15922988	0	4338467	0	0	0	0	0	15922988	0	100.0	nan	11584521	0	5799857	0	5784664	0	11534106	0	99.56	nan	11534106	0	50415	0	0.44	nan	0	0	0	0	15922988
SRR614131	140663874	0	55425728	0	0	0	0	0	140663874	0	100.0	nan	85238146	0	42632546	0	42605600	0	85073252	0	99.81	nan	85073252	0	164894	0	0.19	nan	0	0	0	0	140663874
SRR614167	65241676	0	20367721	0	0	0	0	0	65241676	0	100.0	nan	44873955	0	22440726	0	22433229	0	44773980	0	99.78	nan	44773980	0	99975	0	0.22	nan	0	0	0	0	65241676
SRR615177	109161601	0	35963165	0	0	0	0	0	109161601	0	100.0	nan	73198436	0	36659780	0	36538656	0	72980624	0	99.7	nan	72980624	0	217812	0	0.3	nan	0	0	0	0	109161601
SRR627449	59155324	0	9233036	0	0	0	0	0	59155324	0	100.0	nan	49922288	0	25126557	0	24795731	0	49478120	0	99.11	nan	49478120	0	444168	0	0.89	nan	0	0	0	0	59155324
SRR627462	79917499	0	25183056	0	0	0	0	0	79917499	0	100.0	nan	54734443	0	27553588	0	27180855	0	54230130	0	99.08	nan	54230130	0	504313	0	0.92	nan	0	0	0	0	79917499
SRR655277	94709705	0	5575180	0	0	0	0	0	94709705	0	100.0	nan	89134525	0	44648040	0	44486485	0	88919222	0	99.76	nan	88919222	0	215303	0	0.24	nan	0	0	0	0	94709705
