Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR1071717	42085391.0	0.0	42085391.0	1.0	21046516.0	21038875.0	42085391.0	42051528.0	0.0	42051528.0	42085391.0	0.0	97488.0	0.0	2566435.0	3133322444.0	1569699966.0	1563622478.0	3133322444.0	3123489270.0	0.0	0.0	0.0	0.0	74.0	75.0	74.0	76.0	76.0	76.0	37.1	1269.7	2117.7	21018703.0	7061.0	0.0	0.0	99.9	100.0	99.91953739956936	0.0	99.91953739956936	100.0	0.0	0.231643327253393	0.0
SRR1079830	51924942.0	0.0	51924942.0	1.0	25967060.0	25957882.0	51924942.0	51882732.0	0.0	51882732.0	51924942.0	0.0	121662.0	0.0	2885159.0	3866449344.0	1937031958.0	1929417386.0	3866449344.0	3854561763.0	0.0	0.0	0.0	0.0	74.0	75.0	74.0	76.0	76.0	76.0	37.2	1262.1	2120.4	25931373.0	9993.0	0.0	0.0	99.9	100.0	99.91870958661832	0.0	99.91870958661832	100.0	0.0	0.23430358381526933	0.0
SRR1085402	52139244.0	0.0	52139244.0	1.0	26069844.0	26069400.0	52139244.0	52084062.0	0.0	52084062.0	52139244.0	0.0	135363.0	0.0	3709268.0	3876568339.0			3876568339.0	3864759243.0	0.0	0.0	0.0	0.0	74.0			76.0			37.7	1058.9	1937.8	26003683.0	823.0	0.0	0.0		100.0	99.89416417315142	0.0	99.89416417315142	100.0	0.0	0.25961826374007263	0.0
SRR1086236	68502691.0	0.0	68502691.0	1.0	34259989.0	34242702.0	68502691.0	68435120.0	0.0	68435120.0	68502691.0	0.0	146900.0	0.0	4056525.0	5084653766.0	2548152408.0	2536501358.0	5084653766.0	5068164036.0	0.0	0.0	0.0	0.0	74.0	74.0	74.0	76.0	76.0	76.0	37.0	1203.9	2058.0	34197685.0	19875.0	0.0	0.0	99.9	100.0	99.90136007941645	0.0	99.90136007941645	100.0	0.0	0.21444413037730153	0.0
SRR1093861	66713421.0	0.0	66713421.0	1.0	33362059.0	33351362.0	66713421.0	66661738.0	0.0	66661738.0	66713421.0	0.0	141707.0	0.0	4919367.0	4968321807.0	2488067444.0	2480254363.0	4968321807.0	4953533597.0	0.0	0.0	0.0	0.0	74.0	75.0	74.0	76.0	76.0	76.0	37.2	1066.8	1766.0	33309658.0	21211.0	0.0	0.0	99.9	100.0	99.92252983099158	0.0	99.92252983099158	100.0	0.0	0.2124115326060104	0.0
SRR1095383	68385099.0	0.0	68385099.0	1.0	34196882.0	34188217.0	68385099.0	68348100.0	0.0	68348100.0	68385099.0	0.0	163130.0	0.0	5789141.0	5113776067.0	2561596126.0	2552179941.0	5113776067.0	5096440169.0	0.0	0.0	0.0	0.0	74.0	75.0	75.0	76.0	76.0	76.0	37.8	1012.2	1727.6	34144512.0	29538.0	0.0	0.0	99.9	100.0	99.94589610815655	0.0	99.94589610815655	100.0	0.0	0.2385461195281738	0.0
SRR1120296	55785281.0	0.0	55785281.0	1.0	27900887.0	27884394.0	55785281.0	55723846.0	0.0	55723846.0	55785281.0	0.0	158254.0	0.0	3565452.0	4141906073.0	2075791346.0	2066114727.0	4141906073.0	4127287797.0	0.0	0.0	0.0	0.0	74.0	74.0	74.0	76.0	76.0	76.0	37.0	1044.2	1922.8	27844613.0	17310.0	0.0	0.0	99.9	100.0	99.88987238407924	0.0	99.88987238407924	100.0	0.0	0.2836841495877739	0.0
SRR595926	106682414.0	0.0	106682414.0	1.0	53415227.0	53267187.0	106682414.0	106403546.0	0.0	106403546.0	106682414.0	0.0	183092.0	0.0	7986386.0	7876704514.0			7876704514.0	7841453903.0	0.0	0.0	0.0	0.0	73.0			76.0			35.7	765.7	1691.3	53128311.0	4070.0	0.0	0.0		100.0	99.73859984083224	0.0	99.73859984083224	100.0	0.0	0.17162341302100645	0.0
SRR598253	109521741.0	0.0	109521741.0	1.0	54851741.0	54670000.0	109521741.0	109201866.0	0.0	109201866.0	109521741.0	0.0	186142.0	0.0	7203575.0	8087886256.0	4045885573.0	4042000683.0	8087886256.0	8052445440.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	35.7	819.3	1760.7	54554276.0	46657.0	0.0	0.0	99.7	100.0	99.70793470129368	0.0	99.70793470129368	100.0	0.0	0.16995894906382106	0.0
SRR600417	90667637.0	0.0	90667637.0	1.0	45666700.0	45000937.0	90667637.0	89909526.0	0.0	89909526.0	90667637.0	0.0	285961.0	0.0	6529884.0	6449133940.0	3332799936.0	3116334004.0	6449133940.0	6411540067.0	0.0	0.0	0.0	0.0	71.0	73.0	69.0	76.0	76.0	76.0	35.0	912.6	1744.2	44824645.0	130118.0	0.0	0.0	99.2	100.0	99.16385711033806	0.0	99.16385711033806	100.0	0.0	0.3153947863447682	0.0
SRR600584	66907038.0	0.0	66907038.0	1.0	33507325.0	33399713.0	66907038.0	66720752.0	0.0	66720752.0	66907038.0	0.0	146790.0	0.0	3819219.0	4928932885.0			4928932885.0	4903630032.0	0.0	0.0	0.0	0.0	73.0			76.0			35.6	989.4	1840.7	33169376.0	5052.0	0.0	0.0		100.0	99.72157488125539	0.0	99.72157488125539	100.0	0.0	0.21939395972065	0.0
SRR600900	87460153.0	0.0	87460153.0	1.0	43749824.0	43710329.0	87460153.0	87325188.0	0.0	87325188.0	87460153.0	0.0	196995.0	0.0	5612561.0	6464844394.0	3228730666.0	3236113728.0	6464844394.0	6443590493.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.4	840.7	1665.4	43628263.0	34331.0	0.0	0.0	99.8	100.0	99.84568401109475	0.0	99.84568401109475	100.0	0.0	0.22523971573660523	0.0
SRR601900	60752527.0	0.0	60752527.0	1.0	30433149.0	30319378.0	60752527.0	60564654.0	0.0	60564654.0	60752527.0	0.0	155637.0	0.0	3558735.0	4458831528.0	2232681125.0	2226150403.0	4458831528.0	4434545137.0	0.0	0.0	0.0	0.0	73.0	73.0	73.0	76.0	76.0	76.0	35.5	807.8	1648.9	30241454.0	40873.0	0.0	0.0	99.7	100.0	99.69075689641683	0.0	99.69075689641683	100.0	0.0	0.2561819362674412	0.0
SRR603397	77024960.0	0.0	77024960.0	1.0	38529281.0	38495679.0	77024960.0	76905580.0	0.0	76905580.0	77024960.0	0.0	127545.0	0.0	5115536.0	5703778687.0	2848275253.0	2855503434.0	5703778687.0	5681525326.0	0.0	0.0	0.0	0.0	74.0	74.0	74.0	76.0	76.0	76.0	36.5	823.9	1757.5	38410447.0	42343.0	0.0	0.0	99.8	100.0	99.84501127946058	0.0	99.84501127946058	100.0	0.0	0.1655891804422878	0.0
SRR613723	47032018.0	0.0	47032018.0	1.0	23537010.0	23495008.0	47032018.0	46895202.0	0.0	46895202.0	47032018.0	0.0	251208.0	0.0	31651154.0	3459305462.0	1729830255.0	1729475207.0	3459305462.0	3447032656.0	0.0	0.0	0.0	0.0	73.0	73.0	74.0	76.0	76.0	76.0	36.3	738.3	1450.0	23388068.0	59533.0	0.0	0.0	99.7	100.0	99.70910029843924	0.0	99.70910029843924	100.0	0.0	0.5341212448081645	0.0
SRR614059	11584521.0	0.0	11584521.0	1.0	5799857.0	5784664.0	11584521.0	11534106.0	0.0	11534106.0	11584521.0	0.0	90809.0	0.0	4338467.0	839816879.0	422056441.0	417760438.0	839816879.0	832433439.0	0.0	0.0	0.0	0.0	72.0	73.0	72.0	76.0	76.0	76.0	34.7	911.9	1812.2	5728874.0	38179.0	0.0	0.0	99.6	100.0	99.56480721127787	0.0	99.56480721127787	100.0	0.0	0.7838822166233719	0.0
SRR614131	85238146.0	0.0	85238146.0	1.0	42632546.0	42605600.0	85238146.0	85073252.0	0.0	85073252.0	85238146.0	0.0	408183.0	0.0	55425728.0	6297317715.0	3145010048.0	3152307667.0	6297317715.0	6276576231.0	0.0	0.0	0.0	0.0	73.0	74.0	74.0	76.0	76.0	76.0	36.4	673.9	1367.4	42484599.0	52027.0	0.0	0.0	99.8	100.0	99.80654905375347	0.0	99.80654905375347	100.0	0.0	0.4788736254305672	0.0
SRR614167	44873955.0	0.0	44873955.0	1.0	22440726.0	22433229.0	44873955.0	44773980.0	0.0	44773980.0	44873955.0	0.0	269230.0	0.0	20367721.0	3282762470.0	1639632143.0	1643130327.0	3282762470.0	3267928344.0	0.0	0.0	0.0	0.0	73.0	73.0	73.0	76.0	76.0	76.0	36.6	885.2	1739.1	22072479.0	314511.0	0.0	0.0	99.8	100.0	99.77720929657303	0.0	99.77720929657303	100.0	0.0	0.5999694031872163	0.0
SRR615177	73198436.0	0.0	73198436.0	1.0	36659780.0	36538656.0	73198436.0	72980624.0	0.0	72980624.0	73198436.0	0.0	534977.0	0.0	35963165.0	5354781347.0	2685121625.0	2669659722.0	5354781347.0	5322855964.0	0.0	0.0	0.0	0.0	73.0	73.0	73.0	76.0	76.0	76.0	34.6	842.9	1653.7	36447689.0	42623.0	0.0	0.0	99.7	100.0	99.70243626516829	0.0	99.70243626516829	100.0	0.0	0.730858511785689	0.0
