Module	Section	Sample Name	Source
Samtools	stats	SRR1071717	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1071717/alignment_qc/SRR1071717.stats
Samtools	stats	SRR1079830	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1079830/alignment_qc/SRR1079830.stats
Samtools	stats	SRR1081765	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1081765/alignment_qc/SRR1081765.stats
Samtools	stats	SRR1084917	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1084917/alignment_qc/SRR1084917.stats
Samtools	stats	SRR1085402	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1085402/alignment_qc/SRR1085402.stats
Samtools	stats	SRR1086236	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1086236/alignment_qc/SRR1086236.stats
Samtools	stats	SRR1099957	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1099957/alignment_qc/SRR1099957.stats
Samtools	stats	SRR1120296	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1120296/alignment_qc/SRR1120296.stats
Samtools	stats	SRR613723	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR613723/alignment_qc/SRR613723.stats
Samtools	stats	SRR614059	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR614059/alignment_qc/SRR614059.stats
Samtools	stats	SRR614131	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR614131/alignment_qc/SRR614131.stats
Samtools	stats	SRR614167	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR614167/alignment_qc/SRR614167.stats
Samtools	stats	SRR615177	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR615177/alignment_qc/SRR615177.stats
Samtools	stats	SRR595926	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR595926/alignment_qc/SRR595926.stats
Samtools	stats	SRR598253	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR598253/alignment_qc/SRR598253.stats
Samtools	stats	SRR603397	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR603397/alignment_qc/SRR603397.stats
Samtools	stats	SRR627449	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR627449/alignment_qc/SRR627449.stats
Samtools	stats	SRR627462	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR627462/alignment_qc/SRR627462.stats
Samtools	stats	SRR1093861	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR1093861/alignment_qc/SRR1093861.stats
Samtools	stats	SRR1095383	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR1095383/alignment_qc/SRR1095383.stats
Samtools	stats	SRR659649	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR659649/alignment_qc/SRR659649.stats
Samtools	stats	SRR807971	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR807971/alignment_qc/SRR807971.stats
Samtools	stats	SRR815711	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR815711/alignment_qc/SRR815711.stats
Samtools	stats	SRR600417	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR600417/alignment_qc/SRR600417.stats
Samtools	stats	SRR600584	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR600584/alignment_qc/SRR600584.stats
Samtools	stats	SRR600900	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR600900/alignment_qc/SRR600900.stats
Samtools	stats	SRR601900	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR601900/alignment_qc/SRR601900.stats
Samtools	stats	SRR665217	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR665217/alignment_qc/SRR665217.stats
Samtools	stats	SRR614206	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR614206/alignment_qc/SRR614206.stats
Samtools	stats	SRR614755	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR614755/alignment_qc/SRR614755.stats
Samtools	stats	SRR614779	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR614779/alignment_qc/SRR614779.stats
Samtools	stats	SRR615008	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR615008/alignment_qc/SRR615008.stats
Samtools	stats	SRR615623	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR615623/alignment_qc/SRR615623.stats
Samtools	stats	SRR655277	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR655277/alignment_qc/SRR655277.stats
Samtools	stats	SRR656191	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656191/alignment_qc/SRR656191.stats
Samtools	stats	SRR656373	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656373/alignment_qc/SRR656373.stats
Samtools	stats	SRR656469	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656469/alignment_qc/SRR656469.stats
Samtools	stats	SRR656528	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656528/alignment_qc/SRR656528.stats
Samtools	flagstat	SRR1071717	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1071717/alignment_qc/SRR1071717.flagstat
Samtools	flagstat	SRR1079830	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1079830/alignment_qc/SRR1079830.flagstat
Samtools	flagstat	SRR1081765	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1081765/alignment_qc/SRR1081765.flagstat
Samtools	flagstat	SRR1084917	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1084917/alignment_qc/SRR1084917.flagstat
Samtools	flagstat	SRR1085402	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1085402/alignment_qc/SRR1085402.flagstat
Samtools	flagstat	SRR1086236	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1086236/alignment_qc/SRR1086236.flagstat
Samtools	flagstat	SRR1099957	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1099957/alignment_qc/SRR1099957.flagstat
Samtools	flagstat	SRR1120296	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/bladder/SRR1120296/alignment_qc/SRR1120296.flagstat
Samtools	flagstat	SRR613723	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR613723/alignment_qc/SRR613723.flagstat
Samtools	flagstat	SRR614059	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR614059/alignment_qc/SRR614059.flagstat
Samtools	flagstat	SRR614131	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR614131/alignment_qc/SRR614131.flagstat
