Sample Name	M Reads Mapped	% Mapped	M Non-Primary	% MapQ 0 Reads	Error rate	% Proper Pairs
SRR1071717	44.7	100.00%	2.6	0.20%	0.00%	99.90%
SRR1079830	54.8	100.00%	2.9	0.20%	0.00%	99.90%
SRR1081765	45.5	100.00%	2.5	0.20%	0.00%	99.90%
SRR1084917	57.1	100.00%	4.6	0.30%	0.00%	99.90%
SRR1085402	55.8	100.00%	3.7	0.30%	0.00%	99.90%
SRR1086236	72.6	100.00%	4.1	0.20%	0.00%	99.90%
SRR1093861	71.6	100.00%	4.9	0.20%	0.00%	99.90%
SRR1095383	74.2	100.00%	5.8	0.20%	0.00%	99.90%
SRR1099957	61.4	100.00%	3.8	0.30%	0.00%	99.90%
SRR1120296	59.4	100.00%	3.6	0.30%	0.00%	99.90%
SRR595926	114.7	100.00%	8	0.20%	0.00%	99.70%
SRR598253	116.7	100.00%	7.2	0.20%	0.00%	99.70%
SRR600417	97.2	100.00%	6.5	0.30%	0.00%	99.20%
SRR600584	70.7	100.00%	3.8	0.20%	0.00%	99.70%
SRR600900	93.1	100.00%	5.6	0.20%	0.00%	99.80%
SRR601900	64.3	100.00%	3.6	0.30%	0.00%	99.70%
SRR603397	82.1	100.00%	5.1	0.20%	0.00%	99.80%
SRR613723	78.7	100.00%	31.7	0.50%	0.00%	99.70%
SRR614059	15.9	100.00%	4.3	0.80%	0.00%	99.60%
SRR614131	140.7	100.00%	55.4	0.50%	0.00%	99.80%
SRR614167	65.2	100.00%	20.4	0.60%	0.00%	99.80%
SRR614206	34.9	100.00%	2.6	0.30%	0.00%	99.70%
SRR614755	96.9	100.00%	5.8	0.30%	0.00%	99.80%
SRR614779	11	100.00%	0.8	0.30%	0.00%	99.70%
SRR615008	31.3	100.00%	2.1	0.30%	0.00%	99.70%
SRR615177	109.2	100.00%	36	0.70%	0.00%	99.70%
SRR615623	69.4	100.00%	4.4	0.30%	0.00%	99.80%
SRR627449	59.2	100.00%	9.2	0.40%	0.00%	99.10%
SRR627462	79.9	100.00%	25.2	0.60%	0.00%	99.10%
SRR655277	94.7	100.00%	5.6	0.20%	0.00%	99.80%
SRR656191	62.9	100.00%	4.3	0.30%	0.00%	99.70%
SRR656373	71.8	100.00%	4.3	0.20%	0.00%	99.80%
SRR656469	130.3	100.00%	8.7	0.30%	0.00%	99.70%
SRR656528	78.8	100.00%	5.5	0.40%	0.00%	99.60%
SRR659649	125.5	100.00%	8.2	0.20%	0.00%	99.80%
SRR665217	139.3	100.00%	8.6	0.30%	0.00%	99.70%
SRR807971	114.2	100.00%	9.3	0.30%	0.00%	99.80%
SRR815711	114.4	100.00%	9.3	0.20%	0.00%	99.90%
