Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1085402_1	20.037635814083046	50.0	76.0	30.0	27910763.0
SRR1085402_2	18.98890123506763	50.0	76.0	10.0	27910763.0
SRR1086236_1	22.315510917514317	50.0	76.0	10.0	37381955.0
SRR1086236_2	21.390301452198372	50.0	76.0	10.0	37381955.0
SRR595926_1	68.89013015874771	48.0	76.0	20.0	61783980.0
SRR595926_2	20.37094649274715	49.0	76.0	10.0	61783980.0
SRR598253_1	70.81734474766954	48.0	76.0	30.0	66624119.0
SRR598253_2	18.962356143593993	49.0	76.0	10.0	66624119.0
SRR600417_1	78.62763926382829	49.0	76.0	60.0	102922299.0
SRR600417_2	19.335066103073444	51.0	76.0	40.0	102922299.0
SRR600584_1	69.49964754243737	48.0	76.0	40.0	53403883.0
SRR600584_2	26.522442425884094	50.0	76.0	30.0	53403883.0
SRR659649_1	48.16476274917252	46.0	76.0	30.0	75683758.0
SRR659649_2	29.76985505275441	47.0	76.0	10.0	75683758.0
SRR807971_1	30.399768995773954	49.0	76.0	20.0	60685861.0
SRR807971_2	27.570895793327082	49.0	76.0	20.0	60685861.0
