Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1071717_1_val_1	SRR1071717_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21220768.0	0.0	20-76	49.0	81.83738347911715	74.21037617488679	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1071717_2_val_2	SRR1071717_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21220768.0	0.0	20-76	49.0	82.24276408846879	73.96202380611295	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1079830_1_val_1	SRR1079830_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26175796.0	0.0	20-76	49.0	83.51911954818006	74.22550320914787	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1079830_2_val_2	SRR1079830_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26175796.0	0.0	20-76	49.0	83.59963917650111	73.97026260443045	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1081765_1_val_1	SRR1081765_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21667401.0	0.0	20-76	49.0	84.30424542715157	74.62100239894946	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1081765_2_val_2	SRR1081765_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21667401.0	0.0	20-76	49.0	84.8555497238585	74.25772892651038	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1084917_1_val_1	SRR1084917_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26683526.0	0.0	20-76	49.0	83.55044673772221	73.72267030976342	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1084917_2_val_2	SRR1084917_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26683526.0	0.0	20-76	49.0	82.77325262996112	74.02396347469221	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1085402_1_val_1	SRR1085402_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26462596.0	0.0	20-76	50.0	83.46408198901966	73.71714899022001	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1085402_2_val_2	SRR1085402_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26462596.0	0.0	20-76	50.0	82.61495537120125	73.98847029218146	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1086236_1_val_1	SRR1086236_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34795063.0	0.0	20-76	50.0	80.0839463169837	73.97974022923884	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1086236_2_val_2	SRR1086236_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34795063.0	0.0	20-76	50.0	80.22071345302373	73.67505206126513	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1093861_1_val_1	SRR1093861_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33771322.0	0.0	20-76	49.0	76.30793326672507	74.23737838868138	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR1093861_2_val_2	SRR1093861_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33771322.0	0.0	20-76	49.0	77.08244243085353	73.99266419004859	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
