Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1071717_1_val_1	18.16261652088285	49.0	74.21037617488679	10.0	21220768.0
SRR1071717_2_val_2	17.75723591153121	49.0	73.96202380611295	10.0	21220768.0
SRR1079830_1_val_1	16.480880451819942	49.0	74.22550320914787	10.0	26175796.0
SRR1079830_2_val_2	16.400360823498886	49.0	73.97026260443045	10.0	26175796.0
SRR1081765_1_val_1	15.69575457284843	49.0	74.62100239894946	10.0	21667401.0
SRR1081765_2_val_2	15.144450276141498	49.0	74.25772892651038	10.0	21667401.0
SRR1084917_1_val_1	16.44955326227779	49.0	73.72267030976342	10.0	26683526.0
SRR1084917_2_val_2	17.22674737003888	49.0	74.02396347469221	10.0	26683526.0
SRR1085402_1_val_1	16.53591801098034	50.0	73.71714899022001	10.0	26462596.0
SRR1085402_2_val_2	17.385044628798752	50.0	73.98847029218146	10.0	26462596.0
SRR1086236_1_val_1	19.9160536830163	50.0	73.97974022923884	10.0	34795063.0
SRR1086236_2_val_2	19.779286546976266	50.0	73.67505206126513	10.0	34795063.0
SRR1093861_1_val_1	23.692066733274928	49.0	74.23737838868138	10.0	33771322.0
SRR1093861_2_val_2	22.917557569146467	49.0	73.99266419004859	10.0	33771322.0
SRR1095383_1_val_1	18.79035709459714	50.0	74.58891608481157	10.0	34516612.0
SRR1095383_2_val_2	18.123475005362465	50.0	74.30004625019396	10.0	34516612.0
SRR1099957_1_val_1	18.004772476917026	49.0	74.54149676041874	10.0	28980443.0
SRR1099957_2_val_2	17.275947692783788	49.0	74.25104488568377	10.0	28980443.0
SRR1120296_1_val_1	18.75970201557132	50.0	74.00204126076193	10.0	28474559.0
SRR1120296_2_val_2	18.276358336528205	50.0	73.68344991752112	10.0	28474559.0
SRR595926_1_val_1	48.391939853533884	48.0	73.10682833339567	10.0	54812350.0
SRR595926_2_val_2	19.84867291789145	49.0	73.14714505033993	10.0	54812350.0
SRR598253_1_val_1	48.059433940978124	48.0	73.07811950544284	10.0	56342689.0
SRR598253_2_val_2	18.710063769881586	48.0	73.020179246326	10.0	56342689.0
SRR600417_1_val_1	50.5502167487958	50.0	69.38160442961646	20.0	53507838.0
SRR600417_2_val_2	25.02095678964892	50.0	64.04732211381817	10.0	53507838.0
SRR600584_1_val_1	43.47877972378576	49.0	71.99832905445311	10.0	36201060.0
SRR600584_2_val_2	26.23491564498616	50.0	71.21331193064512	10.0	36201060.0
SRR600900_1_val_1	46.04443096050625	50.0	73.16832564187324	10.0	44590580.0
SRR600900_2_val_2	39.06322229855892	50.0	73.3044543937307	10.0	44590580.0
SRR601900_1_val_1	38.34136130370768	50.0	70.59329624467466	10.0	34212615.0
SRR601900_2_val_2	30.775701332324374	50.0	69.8267460116685	10.0	34212615.0
SRR603397_1_val_1	50.82376981891855	48.0	73.05599920010748	20.0	40305415.0
SRR603397_2_val_2	43.12284705845249	48.0	73.03126029095594	10.0	40305415.0
SRR613723_1_val_1	38.90975226149832	53.0	71.91472557475566	10.0	25515364.0
SRR613723_2_val_2	35.597929810210715	54.0	71.2697551169562	10.0	25515364.0
SRR614059_1_val_1	11.598426029544257	51.0	66.95934178035313	10.0	8865612.0
SRR614059_2_val_2	12.994607319872571	51.0	63.36429814433566	10.0	8865612.0
SRR614131_1_val_1	28.509937033585615	54.0	72.9058456895089	10.0	44124427.0
SRR614131_2_val_2	27.80496091062146	54.0	72.93374896403753	10.0	44124427.0
SRR614167_1_val_1	37.372820529290365	51.0	70.48576431040638	10.0	26429805.0
SRR614167_2_val_2	33.683449606441044	51.0	68.14319818099301	10.0	26429805.0
SRR614206_1_val_1	52.217562969242636	49.0	68.72817775811038	20.0	21802572.0
SRR614206_2_val_2	51.971950800662256	50.0	65.08345134693283	40.0	21802572.0
SRR614755_1_val_1	46.88781573435632	49.0	72.99534167608687	10.0	48629508.0
SRR614755_2_val_2	46.50481198149261	50.0	72.40647892222147	10.0	48629508.0
SRR614779_1_val_1	32.90064098321078	48.0	57.57819647197355	30.0	10598560.0
SRR614779_2_val_2	31.530607606397083	49.0	59.36818964085687	30.0	10598560.0
SRR615008_1_val_1	43.53993382960899	49.0	70.49789570984464	10.0	17808143.0
SRR615008_2_val_2	40.231355193049644	49.0	68.89640340376872	10.0	17808143.0
SRR615177_1_val_1	21.10816900268013	53.0	72.2317940873389	10.0	38154157.0
SRR615177_2_val_2	16.186980768584263	53.0	71.67149194254246	10.0	38154157.0
SRR615623_1_val_1	64.13556898359116	49.0	72.8923193544007	20.0	34760880.0
SRR615623_2_val_2	59.14930674117357	49.0	72.22602160819864	20.0	34760880.0
SRR627449_1_val_1	13.614754587812882	43.0	94.32064058463735	10.0	25985887.0
SRR627449_2_val_2	9.85122916486381	43.0	92.62750253628056	10.0	25985887.0
SRR627462_1_val_1	8.865511879809901	44.0	93.46678214124975	10.0	28582336.0
SRR627462_2_val_2	6.632455480010194	44.0	92.02724451913238	10.0	28582336.0
SRR655277_1_val_1	32.56932557738074	47.0	73.99074095049316	10.0	45644642.0
SRR655277_2_val_2	24.64253681998025	47.0	72.44124854785804	10.0	45644642.0
SRR656191_1_val_1	17.54282536822464	49.0	73.23777368669374	10.0	30266360.0
SRR656191_2_val_2	11.080406694301786	49.0	72.06152751767969	10.0	30266360.0
SRR656373_1_val_1	28.601178181114832	47.0	73.26478099072109	10.0	35393957.0
SRR656373_2_val_2	24.215111838586964	47.0	71.95807369037601	10.0	35393957.0
SRR656469_1_val_1	27.761757852810987	48.0	73.23842338586137	10.0	62976855.0
SRR656469_2_val_2	20.797284866673976	48.0	72.44883127301291	10.0	62976855.0
SRR656528_1_val_1	34.2074852192102	46.0	71.03594131064436	20.0	41302890.0
SRR656528_2_val_2	21.464712959422712	46.0	70.4117048468037	20.0	41302890.0
SRR659649_1_val_1	31.225590699484357	46.0	73.07746772444872	10.0	61392987.0
SRR659649_2_val_2	30.116107534429432	46.0	72.42504079496898	10.0	61392987.0
SRR665217_1_val_1	41.631077963931304	47.0	72.41277102936351	30.0	68212074.0
SRR665217_2_val_2	31.197536694107498	47.0	71.16880190448394	30.0	68212074.0
SRR807971_1_val_1	27.976448389670708	49.0	72.31452901006787	10.0	53440654.0
SRR807971_2_val_2	27.087469622184017	49.0	71.57732227603353	10.0	53440654.0
SRR815711_1_val_1	34.50096613786636	49.0	73.33829559158313	10.0	53114124.0
SRR815711_2_val_2	33.64377538231777	49.0	72.76484567457048	10.0	53114124.0
