##BamQC	0.1.25_devel
>>Basic Statistics	pass
#Measure	Value
File name	ERR458878.bwa.bam
Command generating Sam/Bam file	ID:bwa PN:bwa VN:0.7.15-r1140 CL:bwa mem ./../databases/referenceGenomes/sacCer3_BWAindex/sacCer3 ./../databases/ENA_files/ERR458878.fastq.gz

Has annotation	No
Total chromosomes	17
Sufficient genome coverage	Yes
Total sequences	1467588
Percent primary alignments	99.999
Percent sequences failed vendor QC	 0.000
Percent marked duplicate	 0.000
Percent sequences spliced	 0.000
Percent sequences paired	 0.000
Percent sequences unmapped	 2.563
Percent sequences without MD Tag String	 0.000
Percent sequences without Cigar String	 0.000
Percent sequences with inconsistent Cigar or MD Tag Strings	 0.000
Percent sequences discarded for variant call detection	 2.563
Percent indels	 0.007 (Ins: 0.003; Del: 0.004)
Percent SNPs	 0.509
Percent soft clips	 0.502
>>END_MODULE
>>Genome Coverage	pass
Chromosome_name	Genome_position
Name	0	1000000	
XVI	11.549469522150842	NaN	
XV	1.0	-1.0	
XIV	11.10531806379003	NaN	
XIII	11.475192444652988	NaN	
XII	1.0000000000000007	-0.9999999999999994	
XI	11.424476691785115	NaN	
X	11.304140829234878	NaN	
VIII	11.238185941887343	NaN	
VII	0.9999999999999992	-1.0000000000000007	
VI	10.057066640464429	NaN	
V	11.0035155053454	NaN	
M	3.044522437723423	NaN	
IX	10.471383252907115	NaN	
IV	1.0	-1.0	
III	10.529613131664696	NaN	
II	11.519255388665098	NaN	
I	10.200587635966167	NaN	
>>END_MODULE
>>Chromosome Read Density	pass
Chromosome_name	Chromosome_length_(log)	Read_number_(log)
chrM	11.29	3.04
chrI	12.34	10.2
chrVI	12.49	10.06
chrIII	12.66	10.53
chrIX	12.99	10.47
chrVIII	13.24	11.24
chrV	13.26	11.0
chrXI	13.41	11.42
chrX	13.52	11.3
chrXIV	13.57	11.11
chrII	13.61	11.52
chrXIII	13.74	11.48
chrXVI	13.76	11.55
chrXII	13.89	12.02
chrVII	13.9	11.98
chrXV	13.9	11.73
chrIV	14.24	12.11
>>END_MODULE
>>Soft Clip Length Distributions	pass
Length	5'_count	3'_count
0	1373128	1422939
1	0	0
2	3756	313
3	17345	410
4	23734	435
5	1750	399
6	1062	317
7	1227	332
8	872	443
9	780	385
10	596	315
11	600	249
12	650	284
13	653	455
14	478	419
15	457	318
16	583	344
17	464	357
18	470	297
19	473	360
20	378	343
21	512	254
>>END_MODULE
>>Indel Frequencies	pass
Position	Read_del_freq	Read_ins_freq
1	0.0	0.0
2	0.0	0.0
3	0.0	0.0
4	0.013776724748032796	0.030210888787564304
5	0.009230988708822448	0.004545562621768629
6	0.001888159422195244	0.0014685684394851897
7	0.0014685643315095163	9.79042887673011E-4
8	0.002097949045013595	0.0013287010618419433
9	0.003007060297852819	0.0016084276011770892
10	0.0030070666065253344	0.0022378170095072258
11	0.0025874704888501003	9.79042887673011E-4
12	0.0027972712618840323	0.0021678852279601248
13	0.003846277572565271	0.0017483079875296689
14	0.0041259808820228215	0.0023077520187585274
15	0.003846247985090544	0.0024476123541485283
16	0.003426650106855538	0.0023776755843487405
17	0.003638381284166674	0.0025188793505769285
18	0.004685422810456465	0.0027972673495262478
19	0.0052449863175790265	0.0025175934324379325
20	0.005314837698143793	0.0026574188490718965
21	0.005804337868409367	0.0034266572958079394
22	0.005244909291042115	0.0036364704417891996
23	0.006090151035745686	0.003710092010281855
24	0.006084128815692856	0.0020979754536871917
25	0.006853305006339307	0.0030070624007407162
26	0.006293847135040784	0.004125966455193403
27	0.007832343101384087	0.002237812314681168
28	0.004965146073198841	0.0023776755843487405
29	0.0061539838653732115	0.0032168552023541784
30	0.005244876280361715	0.0018881554609302173
31	0.0061574243493946485	0.002309034131022993
32	0.005040523710413512	0.0024502545814510126
33	0.006444445378422036	0.003012077731218995
34	0.0050462113815895986	0.003574399728625966
35	0.00631139585635824	0.0030154446869267147
36	0.0053331162661449565	0.002456040385724651
37	0.0046339007755464845	0.0021765291521506215
38	0.005128597834326619	0.002810190594151572
39	0.005695049103978941	0.002249895942312668
40	0.005206343577869662	0.0021810358231616153
41	0.0050687020321271235	0.00197116190138277
42	0.004790176193951417	0.0027473069347662537
43	0.004864584765389537	0.0018330319405815646
44	0.004869085120075873	0.0014818954713274395
45	0.004379960128233929	0.001907401991327679
46	0.004313484234568687	0.0014849699823924988
47	0.004107520728815816	0.0014163864582123504
48	0.0038904226439888646	0.0012247626842187167
49	0.0028459051802771475	0.0
50	7.318801121825836E-5	0.0
51	0.0	0.0
52	0.0	0.0
>>END_MODULE
>>SNP Frequencies	pass
Position	Read_SNP_freq
1	2.224485214045066
2	4.6441613879125505
3	6.240598506670471
4	4.65611336915748
5	0.12944363712144205
6	0.13986366090335142
7	0.0791626106318463
8	0.12126145480178577
9	0.04839269130498025
10	0.056714674834698754
11	0.05461660680518725
12	0.3274905329850731
13	0.05049113467985684
14	0.09293946766454797
15	0.046714430073463334
16	0.0512598883331655
17	0.0648611432773559
18	0.06517632924396158
19	0.21868096286759486
20	0.04909231663285451
21	0.060770718164430595
22	0.4077742143475543
23	0.0722417915964316
