# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-f" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts/SNF2_2_Aligned_counts.txt" "./databases/alignment/SNF2_2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/SNF2_2_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	7180
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	2
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	51
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	9
YAL064W-B	chrI	12046	12426	+	381	8
YAL064C-A	chrI	13363	13743	-	381	58
YAL064W	chrI	21566	21850	+	285	23
YAL063C-A	chrI	22395	22685	-	291	6
YAL063C	chrI	24000	27968	-	3969	231
YAL062W	chrI	31567	32940	+	1374	725
YAL061W	chrI	33448	34701	+	1254	774
YAL060W	chrI	35155	36303	+	1149	1702
YAL059C-A	chrI	36496	36918	-	423	0
YAL059W	chrI	36509	37147	+	639	70
YAL058W	chrI	37464	38972	+	1509	320
YAL056C-A	chrI	38696	39046	-	351	3
YAL056W	chrI	39259	41901	+	2643	1547
YAL055W	chrI	42177	42719	+	543	527
YAL054C	chrI	42881	45022	-	2142	504
YAL053W	chrI	45899	48250	+	2352	5073
YAL051W	chrI	48564	51707	+	3144	582
YAL049C	chrI	51855	52595	-	741	983
YAL048C	chrI	52801	54789	-	1989	150
YAL047W-A	chrI	54584	54913	+	330	2
YAL047C	chrI	54989	56857	-	1869	222
YAL046C	chrI	57029	57385	-	357	398
YAL045C	chrI	57488	57796	-	309	3
YAL044W-A	chrI	57518	57850	+	333	83
YAL044C	chrI	57950	58462	-	513	884
YAL043C	chrI	58695	61052	-	2358	1010
YAL042C-A	chrI	61231	61608	-	378	0
YAL042W	chrI	61316	62563	+	1248	4602
YAL041W	chrI	62840	65404	+	2565	747
YAL040C	chrI	65778	67520	-	1743	862
YAL039C	chrI	68716	69525	-	810	2324
YAL038W	chrI	71786	73288	+	1503	16664
YAL037C-B	chrI	72326	73300	-	975	158
YAL037C-A	chrI	73426	73518	-	93	6
YAL037W	chrI	74020	74823	+	804	77
YAL036C	chrI	75043	76152	-	1110	514
YAL035W	chrI	76427	79435	+	3009	4165
YAL034C-B	chrI	79489	79842	-	354	23
YAL034W-A	chrI	79718	80587	+	870	179
YAL034C	chrI	80710	81951	-	1242	746
YAL033W	chrI	82706	83227	+	522	272
YAL032C	chrI	83335	84474	-	1140	733
YAL031W-A	chrI	84669	84977	+	309	13
YAL031C	chrI	84749	87031	-	2283	725
YAL030W	chrI	87286	87387	+	102	144
YAL030W	chrI	87501	87752	+	252	687
YAL029C	chrI	87855	92270	-	4416	1307
YAL028W	chrI	92900	94486	+	1587	643
YAL027W	chrI	94687	95472	+	786	259
YAL026C-A	chrI	95386	95823	-	438	21
YAL026C	chrI	95630	99697	-	4068	1025
YAL025C	chrI	100225	101145	-	921	318
YAL024C	chrI	101565	105872	-	4308	318
YAL023C	chrI	106272	108551	-	2280	4306
YAL022C	chrI	108877	110430	-	1554	1462
YAL021C	chrI	110846	113359	-	2514	1289
YAL020C	chrI	113614	114615	-	1002	617
YAL019W-A	chrI	114250	114819	+	570	2
YAL019W	chrI	114919	118314	+	3396	526
YAL018C	chrI	118564	119541	-	978	1
YAL017W	chrI	120225	124295	+	4071	1395
YAL016C-B	chrI	124307	124492	-	186	61
YAL016C-A	chrI	124755	125069	-	315	24
YAL016W	chrI	124879	126786	+	1908	1956
YAL015C	chrI	126903	128102	-	1200	664
YAL014C	chrI	128252	129019	-	768	1385
YAL013W	chrI	129270	130487	+	1218	1631
YAL011W	chrI	132199	134076	+	1878	484
YAL010C	chrI	134184	135665	-	1482	370
YAL009W	chrI	135854	136633	+	780	409
YAL008W	chrI	136914	137510	+	597	569
YAL007C	chrI	137698	138345	-	648	1284
YAL005C	chrI	139503	141431	-	1929	4732
YAL004W	chrI	140760	141407	+	648	0
YAL003W	chrI	142174	142253	+	80	359
YAL003W	chrI	142620	143160	+	541	5620
YAL002W	chrI	143707	147531	+	3825	536
YAL001C	chrI	147594	151006	-	3413	658
YAL001C	chrI	151097	151166	-	70	0
YAR002W	chrI	152257	153876	+	1620	784
YAR002C-A	chrI	154065	154724	-	660	1954
YAR003W	chrI	155005	156285	+	1281	616
YAR007C	chrI	156754	158619	-	1866	975
YAR008W	chrI	158966	159793	+	828	318
YAR009C	chrI	160597	164187	-	3591	15
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	1104
YAR015W	chrI	169375	170295	+	921	1470
YAR018C	chrI	170396	171703	-	1308	412
YAR019C	chrI	172211	175135	-	2925	405
YAR019W-A	chrI	174998	175330	+	333	6
YAR020C	chrI	176856	177023	-	168	42
YAR023C	chrI	179281	179820	-	540	107
YAR027W	chrI	183770	184477	+	708	1065
YAR028W	chrI	184892	185596	+	705	494
YAR029W	chrI	186321	186545	+	225	22
YAR030C	chrI	186512	186853	-	342	26
YAR031W	chrI	186836	187732	+	897	83
YAR033W	chrI	188107	188811	+	705	106
YAR035W	chrI	190193	192256	+	2064	482
YAR035C-A	chrI	192337	192417	-	81	7
YAR042W	chrI	192619	196185	+	3567	1843
YAR047C	chrI	201467	201787	-	321	3
