# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap/WT_4_Aligned_counts.txt" "./databases/alignment/WT_4_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/WT_4_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	5604
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	2
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	30
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	4
YAL064W-B	chrI	12046	12426	+	381	4
YAL064C-A	chrI	13363	13743	-	381	45
YAL064W	chrI	21566	21850	+	285	9
YAL063C-A	chrI	22395	22685	-	291	9
YAL063C	chrI	24000	27968	-	3969	158
YAL062W	chrI	31567	32940	+	1374	543
YAL061W	chrI	33448	34701	+	1254	3056
YAL060W	chrI	35155	36303	+	1149	2384
YAL059C-A	chrI	36496	36918	-	423	141
YAL059W	chrI	36509	37147	+	639	258
YAL058W	chrI	37464	38972	+	1509	433
YAL056C-A	chrI	38696	39046	-	351	123
YAL056W	chrI	39259	41901	+	2643	1191
YAL055W	chrI	42177	42719	+	543	416
YAL054C	chrI	42881	45022	-	2142	348
YAL053W	chrI	45899	48250	+	2352	4610
YAL051W	chrI	48564	51707	+	3144	565
YAL049C	chrI	51855	52595	-	741	784
YAL048C	chrI	52801	54789	-	1989	217
YAL047W-A	chrI	54584	54913	+	330	27
YAL047C	chrI	54989	56857	-	1869	234
YAL046C	chrI	57029	57385	-	357	317
YAL045C	chrI	57488	57796	-	309	389
YAL044W-A	chrI	57518	57850	+	333	449
YAL044C	chrI	57950	58462	-	513	2093
YAL043C	chrI	58695	61052	-	2358	986
YAL042C-A	chrI	61231	61608	-	378	1552
YAL042W	chrI	61316	62563	+	1248	5505
YAL041W	chrI	62840	65404	+	2565	713
YAL040C	chrI	65778	67520	-	1743	785
YAL039C	chrI	68716	69525	-	810	2278
YAL038W	chrI	71786	73288	+	1503	116191
YAL037C-B	chrI	72326	73300	-	975	87504
YAL037C-A	chrI	73426	73518	-	93	24
YAL037W	chrI	74020	74823	+	804	59
YAL036C	chrI	75043	76152	-	1110	529
YAL035W	chrI	76427	79435	+	3009	4478
YAL034C-B	chrI	79489	79842	-	354	65
YAL034W-A	chrI	79718	80587	+	870	134
YAL034C	chrI	80710	81951	-	1242	724
YAL033W	chrI	82706	83227	+	522	286
YAL032C	chrI	83335	84474	-	1140	648
YAL031W-A	chrI	84669	84977	+	309	162
YAL031C	chrI	84749	87031	-	2283	688
YAL030W	chrI	87286	87387	+	102	243
YAL030W	chrI	87501	87752	+	252	754
YAL029C	chrI	87855	92270	-	4416	1262
YAL028W	chrI	92900	94486	+	1587	509
YAL027W	chrI	94687	95472	+	786	346
YAL026C-A	chrI	95386	95823	-	438	259
YAL026C	chrI	95630	99697	-	4068	1106
YAL025C	chrI	100225	101145	-	921	670
YAL024C	chrI	101565	105872	-	4308	223
YAL023C	chrI	106272	108551	-	2280	3998
YAL022C	chrI	108877	110430	-	1554	1071
YAL021C	chrI	110846	113359	-	2514	1377
YAL020C	chrI	113614	114615	-	1002	959
YAL019W-A	chrI	114250	114819	+	570	424
YAL019W	chrI	114919	118314	+	3396	631
YAL018C	chrI	118564	119541	-	978	6
YAL017W	chrI	120225	124295	+	4071	1375
YAL016C-B	chrI	124307	124492	-	186	84
YAL016C-A	chrI	124755	125069	-	315	218
YAL016W	chrI	124879	126786	+	1908	2210
YAL015C	chrI	126903	128102	-	1200	499
YAL014C	chrI	128252	129019	-	768	1145
YAL013W	chrI	129270	130487	+	1218	1117
YAL011W	chrI	132199	134076	+	1878	405
YAL010C	chrI	134184	135665	-	1482	424
YAL009W	chrI	135854	136633	+	780	374
YAL008W	chrI	136914	137510	+	597	602
YAL007C	chrI	137698	138345	-	648	1194
YAL005C	chrI	139503	141431	-	1929	11176
YAL004W	chrI	140760	141407	+	648	1738
YAL003W	chrI	142174	142253	+	80	1324
YAL003W	chrI	142620	143160	+	541	12326
YAL002W	chrI	143707	147531	+	3825	622
YAL001C	chrI	147594	151006	-	3413	559
YAL001C	chrI	151097	151166	-	70	4
YAR002W	chrI	152257	153876	+	1620	803
YAR002C-A	chrI	154065	154724	-	660	1819
YAR003W	chrI	155005	156285	+	1281	524
YAR007C	chrI	156754	158619	-	1866	769
YAR008W	chrI	158966	159793	+	828	221
YAR009C	chrI	160597	164187	-	3591	74
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	955
YAR015W	chrI	169375	170295	+	921	4280
YAR018C	chrI	170396	171703	-	1308	361
