# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-f" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts/WT_2_Aligned_counts.txt" "./databases/alignment/WT_2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/WT_2_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	3767
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	0
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	23
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	5
YAL064W-B	chrI	12046	12426	+	381	12
YAL064C-A	chrI	13363	13743	-	381	41
YAL064W	chrI	21566	21850	+	285	4
YAL063C-A	chrI	22395	22685	-	291	7
YAL063C	chrI	24000	27968	-	3969	137
YAL062W	chrI	31567	32940	+	1374	405
YAL061W	chrI	33448	34701	+	1254	1742
YAL060W	chrI	35155	36303	+	1149	1228
YAL059C-A	chrI	36496	36918	-	423	0
YAL059W	chrI	36509	37147	+	639	166
YAL058W	chrI	37464	38972	+	1509	229
YAL056C-A	chrI	38696	39046	-	351	3
YAL056W	chrI	39259	41901	+	2643	1142
YAL055W	chrI	42177	42719	+	543	283
YAL054C	chrI	42881	45022	-	2142	261
YAL053W	chrI	45899	48250	+	2352	2598
YAL051W	chrI	48564	51707	+	3144	502
YAL049C	chrI	51855	52595	-	741	580
YAL048C	chrI	52801	54789	-	1989	130
YAL047W-A	chrI	54584	54913	+	330	0
YAL047C	chrI	54989	56857	-	1869	193
YAL046C	chrI	57029	57385	-	357	234
YAL045C	chrI	57488	57796	-	309	3
YAL044W-A	chrI	57518	57850	+	333	36
YAL044C	chrI	57950	58462	-	513	1045
YAL043C	chrI	58695	61052	-	2358	715
YAL042C-A	chrI	61231	61608	-	378	0
YAL042W	chrI	61316	62563	+	1248	2796
YAL041W	chrI	62840	65404	+	2565	645
YAL040C	chrI	65778	67520	-	1743	956
YAL039C	chrI	68716	69525	-	810	1471
YAL038W	chrI	71786	73288	+	1503	19068
YAL037C-B	chrI	72326	73300	-	975	183
YAL037C-A	chrI	73426	73518	-	93	55
YAL037W	chrI	74020	74823	+	804	70
YAL036C	chrI	75043	76152	-	1110	605
YAL035W	chrI	76427	79435	+	3009	4216
YAL034C-B	chrI	79489	79842	-	354	44
YAL034W-A	chrI	79718	80587	+	870	116
YAL034C	chrI	80710	81951	-	1242	473
YAL033W	chrI	82706	83227	+	522	274
YAL032C	chrI	83335	84474	-	1140	516
YAL031W-A	chrI	84669	84977	+	309	8
YAL031C	chrI	84749	87031	-	2283	457
YAL030W	chrI	87286	87387	+	102	102
YAL030W	chrI	87501	87752	+	252	395
YAL029C	chrI	87855	92270	-	4416	1259
YAL028W	chrI	92900	94486	+	1587	352
YAL027W	chrI	94687	95472	+	786	234
YAL026C-A	chrI	95386	95823	-	438	28
YAL026C	chrI	95630	99697	-	4068	901
YAL025C	chrI	100225	101145	-	921	1124
YAL024C	chrI	101565	105872	-	4308	257
YAL023C	chrI	106272	108551	-	2280	3254
YAL022C	chrI	108877	110430	-	1554	864
YAL021C	chrI	110846	113359	-	2514	1136
YAL020C	chrI	113614	114615	-	1002	365
YAL019W-A	chrI	114250	114819	+	570	0
YAL019W	chrI	114919	118314	+	3396	788
YAL018C	chrI	118564	119541	-	978	1
YAL017W	chrI	120225	124295	+	4071	934
YAL016C-B	chrI	124307	124492	-	186	34
YAL016C-A	chrI	124755	125069	-	315	30
YAL016W	chrI	124879	126786	+	1908	1576
YAL015C	chrI	126903	128102	-	1200	350
YAL014C	chrI	128252	129019	-	768	930
YAL013W	chrI	129270	130487	+	1218	974
YAL011W	chrI	132199	134076	+	1878	389
YAL010C	chrI	134184	135665	-	1482	345
YAL009W	chrI	135854	136633	+	780	297
YAL008W	chrI	136914	137510	+	597	362
YAL007C	chrI	137698	138345	-	648	903
YAL005C	chrI	139503	141431	-	1929	4336
YAL004W	chrI	140760	141407	+	648	0
YAL003W	chrI	142174	142253	+	80	761
YAL003W	chrI	142620	143160	+	541	9175
YAL002W	chrI	143707	147531	+	3825	457
YAL001C	chrI	147594	151006	-	3413	423
YAL001C	chrI	151097	151166	-	70	3
YAR002W	chrI	152257	153876	+	1620	819
YAR002C-A	chrI	154065	154724	-	660	1365
YAR003W	chrI	155005	156285	+	1281	477
YAR007C	chrI	156754	158619	-	1866	480
YAR008W	chrI	158966	159793	+	828	228
YAR009C	chrI	160597	164187	-	3591	52
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	895
YAR015W	chrI	169375	170295	+	921	1816
YAR018C	chrI	170396	171703	-	1308	294
YAR019C	chrI	172211	175135	-	2925	323
YAR019W-A	chrI	174998	175330	+	333	4
YAR020C	chrI	176856	177023	-	168	29
YAR023C	chrI	179281	179820	-	540	81
YAR027W	chrI	183770	184477	+	708	705
YAR028W	chrI	184892	185596	+	705	288
YAR029W	chrI	186321	186545	+	225	26
YAR030C	chrI	186512	186853	-	342	24
YAR031W	chrI	186836	187732	+	897	100
YAR033W	chrI	188107	188811	+	705	93
YAR035W	chrI	190193	192256	+	2064	136
YAR035C-A	chrI	192337	192417	-	81	0
YAR042W	chrI	192619	196185	+	3567	1122
YAR047C	chrI	201467	201787	-	321	18
YAR050W	chrI	203403	208016	+	4614	116
YAR053W	chrI	208367	208663	+	297	5
YAR060C	chrI	217157	217492	-	336	0
YAR064W	chrI	220198	220497	+	300	8
YAR066W	chrI	221049	221660	+	612	4
YAR068W	chrI	222406	222891	+	486	3
YAR069C	chrI	224011	224304	-	294	0
YAR070C	chrI	224563	224862	-	300	1
YAR071W	chrI	225460	226863	+	1404	147
YAR073W	chrI	227742	228953	+	1212	10
YAR075W	chrI	228844	229317	+	474	7
Q0010	chrM	3952	4338	+	387	0
Q0017	chrM	4254	4415	+	162	0
Q0032	chrM	11667	11957	+	291	0
Q0045	chrM	13818	13986	+	169	0
Q0045	chrM	16435	16470	+	36	0
Q0045	chrM	18954	18991	+	38	0
Q0045	chrM	20508	20984	+	477	0
Q0045	chrM	21995	22246	+	252	0
Q0045	chrM	23612	23746	+	135	0
Q0045	chrM	25318	25342	+	25	0
Q0045	chrM	26229	26701	+	473	2
Q0070	chrM	13818	13986	+	169	0
Q0070	chrM	16435	16470	+	36	0
Q0070	chrM	18954	18991	+	38	0
Q0070	chrM	20508	20984	+	477	0
Q0070	chrM	21995	23167	+	1173	0
Q0065	chrM	13818	13986	+	169	0
Q0065	chrM	16435	16470	+	36	0
Q0065	chrM	18954	18991	+	38	0
Q0065	chrM	20508	21935	+	1428	0
Q0060	chrM	13818	13986	+	169	0
Q0060	chrM	16435	16470	+	36	0
Q0060	chrM	18954	19996	+	1043	0
Q0055	chrM	13818	13986	+	169	0
Q0055	chrM	16435	18830	+	2396	5
Q0050	chrM	13818	16322	+	2505	1
Q0075	chrM	24156	24870	+	715	0
Q0075	chrM	24906	25255	+	350	0
Q0080	chrM	27666	27812	+	147	0
Q0085	chrM	28487	29266	+	780	1
Q0092	chrM	30874	31014	+	141	0
Q0105	chrM	36540	36954	+	415	0
Q0105	chrM	37723	37736	+	14	0
Q0105	chrM	39141	39217	+	77	0
Q0105	chrM	40841	41090	+	250	0
Q0105	chrM	42508	42558	+	51	0
Q0105	chrM	43297	43647	+	351	1
Q0120	chrM	36540	36954	+	415	0
Q0120	chrM	37723	37736	+	14	0
Q0120	chrM	39141	39217	+	77	0
Q0120	chrM	40841	42251	+	1411	0
Q0115	chrM	36540	36954	+	415	0
Q0115	chrM	37723	37736	+	14	0
Q0115	chrM	39141	40265	+	1125	0
Q0110	chrM	36540	36954	+	415	0
Q0110	chrM	37723	38579	+	857	0
Q0130	chrM	46723	46953	+	231	1
Q0140	chrM	48901	50097	+	1197	0
Q0142	chrM	51052	51228	+	177	0
Q0143	chrM	51277	51429	+	153	0
Q0144	chrM	54109	54438	+	330	0
Q0160	chrM	61022	61729	+	708	0
Q0182	chrM	65770	66174	+	405	0
Q0250	chrM	73758	74513	+	756	1
Q0255	chrM	74495	75622	+	1128	0
Q0255	chrM	75663	75872	+	210	0
Q0255	chrM	75904	75984	+	81	0
Q0275	chrM	79213	80022	+	810	1
Q0297	chrM	85554	85709	+	156	0
YER054C	chrV	262052	263698	-	1647	224
YER114C	chrV	390590	393712	-	3123	796
YER169W	chrV	523369	525759	+	2391	593
YEL077C	chrV	264	4097	-	3834	74
YEL077W-A	chrV	630	1112	+	483	0
YEL076C-A	chrV	4185	4322	-	138	0
YEL076C-A	chrV	4602	5114	-	513	0
YEL076C	chrV	4464	5114	-	651	0
YEL075W-A	chrV	4870	5481	+	612	0
YEL075C	chrV	5345	5713	-	369	0
YEL074W	chrV	6126	6464	+	339	20
YEL073C	chrV	7230	7553	-	324	56
YEL072W	chrV	13720	14415	+	696	129
YEL071W	chrV	16355	17845	+	1491	2494
YEL070W	chrV	19589	21097	+	1509	37
YEL069C	chrV	21537	23231	-	1695	27
YEL068C	chrV	25646	25978	-	333	165
YEL067C	chrV	26189	26776	-	588	63
YEL066W	chrV	26667	27206	+	540	129
YEL065W	chrV	27657	29543	+	1887	1306
YEL064C	chrV	29797	31239	-	1443	190
YEL063C	chrV	31694	33466	-	1773	882
YEL062W	chrV	34407	36254	+	1848	236
YEL061C	chrV	36535	39537	-	3003	385
YEL060C	chrV	40046	41953	-	1908	3773
YEL059C-A	chrV	42400	42624	-	225	72
YEL059W	chrV	42652	42960	+	309	43
YEL058W	chrV	43252	44925	+	1674	1727
YEL057C	chrV	45020	45721	-	702	47
YEL056W	chrV	47168	48373	+	1206	797
YEL055C	chrV	48471	51539	-	3069	1045
YEL054C	chrV	52721	53218	-	498	2209
YEL053W-A	chrV	52908	53255	+	348	8
YEL053C	chrV	53901	56102	-	2202	582
YEL052W	chrV	56571	58100	+	1530	1022
YEL051W	chrV	58378	59148	+	771	2202
YEL050W-A	chrV	59549	59740	+	192	29
YEL050C	chrV	59670	60851	-	1182	563
YEL049W	chrV	63728	64090	+	363	21
YEL048C	chrV	64709	65167	-	459	73
YEL047C	chrV	65385	66797	-	1413	1479
YEL046C	chrV	67629	68792	-	1164	3036
YEL045C	chrV	68840	69265	-	426	126
YEL044W	chrV	69757	70257	+	501	792
YEL043W	chrV	70478	73348	+	2871	972
YEL042W	chrV	73771	75327	+	1557	1309
YEL041W	chrV	75944	77431	+	1488	154
YEL040W	chrV	78053	79456	+	1404	5055
YEL039C	chrV	79636	79977	-	342	469
YEL038W	chrV	80462	81145	+	684	872
YEL037C	chrV	81407	82603	-	1197	1887
YEL036C	chrV	83050	84552	-	1503	1576
YEL035C	chrV	85045	85545	-	501	7
YEL034C-A	chrV	85613	86215	-	603	34
YEL034W	chrV	85676	86149	+	474	0
YEL033W	chrV	86179	86598	+	420	460
YEL032W	chrV	86937	89852	+	2916	879
YEL032C-A	chrV	87040	87201	-	162	0
YEL031W	chrV	90258	93905	+	3648	3671
YEL030C-A	chrV	94583	94897	-	315	1
YEL030W	chrV	94644	96578	+	1935	144
YEL029C	chrV	96858	97796	-	939	239
YEL028W	chrV	98668	99129	+	462	82
YEL027W	chrV	100769	101251	+	483	5852
YEL026W	chrV	101943	102323	+	381	3106
YEL025C	chrV	102581	106147	-	3567	612
YEL024W	chrV	107260	107907	+	648	357
YEL023C	chrV	108504	110552	-	2049	246
YEL022W	chrV	111421	115800	+	4380	1143
YEL021W	chrV	116167	116970	+	804	0
YEL020C-B	chrV	117183	117380	-	198	1
YEL020W-A	chrV	117211	117474	+	264	81
YEL020C	chrV	118617	120299	-	1683	362
YEL019C	chrV	120498	121301	-	804	36
YEL018C-A	chrV	121455	121988	-	534	0
YEL018W	chrV	121471	122310	+	840	145
YEL017C-A	chrV	122798	122929	-	132	2095
YEL017W	chrV	123657	124670	+	1014	489
YEL016C	chrV	124737	126218	-	1482	387
YEL015W	chrV	126629	128284	+	1656	1204
YEL014C	chrV	128303	128608	-	306	43
YEL013W	chrV	128825	130561	+	1737	825
YEL012W	chrV	131772	131776	+	5	4
YEL012W	chrV	131900	132551	+	652	582
YEL011W	chrV	133120	135234	+	2115	3672
YEL010W	chrV	136279	136629	+	351	0
YEL009C-A	chrV	136371	136778	-	408	1
YEL009C	chrV	138918	139763	-	846	8072
YEL008W	chrV	140512	140892	+	381	10
YEL008C-A	chrV	140726	140818	-	93	0
YEL007W	chrV	141892	143892	+	2001	1325
YEL006W	chrV	144327	145334	+	1008	514
YEL005C	chrV	145907	146755	-	849	199
YEL004W	chrV	146951	147979	+	1029	188
YEL003W	chrV	148176	148194	+	19	15
YEL003W	chrV	148283	148599	+	317	360
YEL002C	chrV	148722	150014	-	1293	1693
YEL001C	chrV	150301	150978	-	678	1483
YER001W	chrV	153520	155808	+	2289	974
YER002W	chrV	156803	157498	+	696	1346
YER003C	chrV	157736	158994	-	1259	1309
YER003C	chrV	159088	159118	-	31	10
YER004W	chrV	159580	160275	+	696	1230
YER005W	chrV	160550	162442	+	1893	670
YER006W	chrV	162723	164285	+	1563	1702
YER006C-A	chrV	164344	164661	-	318	17
YER007W	chrV	164527	166083	+	1557	124
YER007C-A	chrV	166237	166771	-	535	954
YER007C-A	chrV	166875	166885	-	11	2
YER008C	chrV	167808	171818	-	4011	1018
YER009W	chrV	172115	172492	+	378	2622
YER010C	chrV	172634	173338	-	705	473
YER011W	chrV	175248	176012	+	765	2384
YER012W	chrV	177835	178431	+	597	1741
YER013W	chrV	178841	182278	+	3438	388
YER014W	chrV	182600	184219	+	1620	282
YER014C-A	chrV	183731	184169	-	439	0
YER014C-A	chrV	184678	184700	-	23	0
YER015W	chrV	184541	186775	+	2235	247
YER016W	chrV	188277	189311	+	1035	755
YER017C	chrV	189503	191788	-	2286	1178
YER018C	chrV	191959	192624	-	666	592
YER019W	chrV	192797	194230	+	1434	1079
YER019C-A	chrV	194273	194539	-	267	2112
YER020W	chrV	195168	196517	+	1350	1471
YER021W	chrV	196948	198519	+	1572	1928
YER022W	chrV	198812	200875	+	2064	522
YER023W	chrV	201076	201936	+	861	1941
YER023C-A	chrV	201522	201734	-	213	0
YER024W	chrV	202192	204963	+	2772	325
YER025W	chrV	205251	206834	+	1584	3083
YER026C	chrV	207644	208474	-	831	1868
YER027C	chrV	208979	210232	-	1254	783
YER028C	chrV	210692	211876	-	1185	761
YER029C	chrV	212587	213177	-	591	611
YER030W	chrV	213437	213898	+	462	739
YER031C	chrV	214076	214747	-	672	1731
YER032W	chrV	215063	217693	+	2631	282
YER033C	chrV	218057	221287	-	3231	308
YER034W	chrV	221846	222403	+	558	231
YER035W	chrV	222639	223076	+	438	548
YER036C	chrV	223367	225199	-	1833	4936
YER037W	chrV	225889	226854	+	966	604
YER038C	chrV	226858	228252	-	1395	142
YER038W-A	chrV	228451	228831	+	381	1
YER039C	chrV	228456	229205	-	750	50
YER039C-A	chrV	229263	229481	-	219	47
YER040W	chrV	229795	231987	+	2193	355
YER041W	chrV	232461	234740	+	2280	281
YER042W	chrV	234937	235491	+	555	287
YER043C	chrV	235770	237119	-	1350	8541
YER044C	chrV	237570	238016	-	447	842
YER044C-A	chrV	238460	239623	-	1164	18
YER044C-A	chrV	239712	239774	-	63	1
YER045C	chrV	240032	241501	-	1470	611
YER046W	chrV	243180	243611	+	432	220
YER046W-A	chrV	243700	244029	+	330	3
YER047C	chrV	243810	246503	-	2694	494
YER048C	chrV	246982	248157	-	1176	1225
YER048W-A	chrV	250718	251002	+	285	370
YER049W	chrV	251728	253662	+	1935	1331
YER050C	chrV	253971	254387	-	417	537
YER051W	chrV	254656	256134	+	1479	257
YER052C	chrV	256375	257958	-	1584	1664
YER053C	chrV	258737	259639	-	903	1768
YER053C-A	chrV	260933	261046	-	114	4
YER055C	chrV	264892	265785	-	894	3147
YER056C	chrV	266512	268113	-	1602	2766
YER056C-A	chrV	269423	269751	-	329	4195
YER056C-A	chrV	270149	270185	-	37	59
YER057C	chrV	270737	271126	-	390	1608
YER058W	chrV	271768	272091	+	324	225
YER059W	chrV	272624	273886	+	1263	685
YER060W	chrV	274567	276153	+	1587	523
YER060W-A	chrV	276572	278164	+	1593	115
YER061C	chrV	278298	279626	-	1329	308
YER062C	chrV	279930	280682	-	753	1108
YER063W	chrV	281710	282366	+	657	922
YER064C	chrV	282705	284222	-	1518	1518
YER065C	chrV	285241	286914	-	1674	715
YER066W	chrV	290242	290799	+	558	189
YER066C-A	chrV	291703	292203	-	501	282
YER067W	chrV	292066	292551	+	486	0
YER067C-A	chrV	292240	292563	-	324	78
YER068W	chrV	293050	294813	+	1764	819
YER068C-A	chrV	295301	295732	-	432	1
YER069W	chrV	295410	298001	+	2592	264
YER070W	chrV	298950	301616	+	2667	999
YER071C	chrV	301947	302327	-	381	128
