# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "4" "-t" "gene" "-f" "-a" "databases/GenomeReference_hg38/annotation/Homo_sapiens.GRCh38.77.gtf" "-o" "databases/gtex_files/brain/SRR598253/counts/SRR598253_counts.txt" "databases/gtex_files/brain/SRR598253/star_aligned/SRR598253.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	databases/gtex_files/brain/SRR598253/star_aligned/SRR598253.Aligned.sortedByCoord.out.bam
ENSG00000223972	1	11869	14409	+	2541	0
ENSG00000227232	1	14404	29570	-	15167	565
ENSG00000278267	1	17369	17436	-	68	0
ENSG00000243485	1	29554	31109	+	1556	1
ENSG00000274890	1	30366	30503	+	138	0
ENSG00000237613	1	34554	36081	-	1528	0
ENSG00000268020	1	52473	53312	+	840	0
ENSG00000240361	1	62948	63887	+	940	0
ENSG00000186092	1	69091	70008	+	918	0
ENSG00000238009	1	89295	133723	-	44429	37
ENSG00000239945	1	89551	91105	-	1555	0
ENSG00000233750	1	131025	134836	+	3812	2
ENSG00000268903	1	135141	135895	-	755	44
ENSG00000269981	1	137682	137965	-	284	48
ENSG00000239906	1	139790	140339	-	550	2
ENSG00000241860	1	141474	173862	-	32389	14
ENSG00000222623	1	157784	157887	-	104	0
ENSG00000241599	1	160446	161525	+	1080	0
ENSG00000279928	1	182393	184158	+	1766	13
ENSG00000279457	1	184923	200322	-	15400	561
ENSG00000273874	1	187891	187958	-	68	0
ENSG00000275135	1	200880	201017	+	138	0
ENSG00000228463	1	257864	297502	-	39639	313
ENSG00000241670	1	258568	259024	-	457	0
ENSG00000236679	1	347982	348366	-	385	4
ENSG00000236743	1	357383	359681	-	2299	1
ENSG00000236601	1	358857	365704	+	6848	0
ENSG00000237094	1	365389	501617	-	136229	231
ENSG00000269732	1	439870	440232	+	363	0
ENSG00000278566	1	450740	451678	-	939	0
ENSG00000224813	1	485032	485211	-	180	0
ENSG00000233653	1	487101	489906	+	2806	0
ENSG00000250575	1	491225	493241	-	2017	0
ENSG00000278757	1	516376	516479	-	104	0
ENSG00000231709	1	585989	588453	-	2465	4
ENSG00000235146	1	587629	594768	+	7140	2
ENSG00000239664	1	594453	597498	-	3046	1
ENSG00000230021	1	601436	724707	-	123272	192
ENSG00000223659	1	627377	629010	-	1634	0
ENSG00000225972	1	629062	629433	+	372	0
ENSG00000225630	1	629640	630683	+	1044	0
ENSG00000276171	1	630896	630958	+	63	0
ENSG00000237973	1	631074	632616	+	1543	0
ENSG00000278791	1	632325	632413	-	89	0
ENSG00000229344	1	632757	633438	+	682	0
ENSG00000240409	1	633535	633741	+	207	0
ENSG00000248527	1	633696	634376	+	681	0
ENSG00000198744	1	634376	634922	+	547	0
ENSG00000268663	1	674842	675265	+	424	0
ENSG00000273547	1	685716	686654	-	939	0
ENSG00000229376	1	722092	724903	+	2812	1
ENSG00000224956	1	726231	728147	-	1917	18
ENSG00000235373	1	741813	750016	-	8204	22
ENSG00000223181	1	758233	758336	-	104	0
ENSG00000240618	1	759032	764925	-	5894	4
ENSG00000229905	1	760911	761989	+	1079	0
ENSG00000228327	1	764857	778626	-	13770	59
ENSG00000237491	1	778770	810060	+	31291	333
ENSG00000230092	1	800879	817712	-	16834	72
ENSG00000177757	1	817371	819837	+	2467	16
ENSG00000228794	1	825138	859446	+	34309	2868
ENSG00000225880	1	826206	827522	-	1317	0
ENSG00000230368	1	868071	876903	-	8833	76
ENSG00000234711	1	873292	874349	+	1058	0
ENSG00000272438	1	904834	915976	+	11143	66
ENSG00000230699	1	911435	914948	+	3514	0
ENSG00000241180	1	914171	914971	+	801	0
ENSG00000223764	1	916865	921016	-	4152	54
ENSG00000187634	1	924880	944581	+	19702	263
ENSG00000188976	1	944204	959309	-	15106	4974
ENSG00000187961	1	960587	965715	+	5129	795
ENSG00000277294	1	965110	965166	+	57	0
ENSG00000187583	1	966497	975865	+	9369	20
ENSG00000187642	1	975204	982093	-	6890	13
ENSG00000272512	1	995966	998051	-	2086	944
ENSG00000188290	1	998962	1000172	-	1211	1328
ENSG00000187608	1	1001138	1014541	+	13404	1043
ENSG00000231702	1	1008076	1008229	-	154	0
ENSG00000224969	1	1011997	1013193	-	1197	0
ENSG00000188157	1	1020123	1056118	+	35996	7816
ENSG00000242590	1	1055033	1056116	+	1084	0
ENSG00000217801	1	1059734	1069355	+	9622	312
ENSG00000273443	1	1062208	1063288	-	1081	0
ENSG00000237330	1	1070966	1074307	-	3342	0
ENSG00000131591	1	1081818	1116361	-	34544	2243
ENSG00000223823	1	1137017	1144056	+	7040	0
ENSG00000207730	1	1167092	1167202	+	111	0
ENSG00000207607	1	1167846	1167956	+	111	0
ENSG00000198976	1	1169005	1169087	+	83	0
ENSG00000272141	1	1169357	1170343	+	987	0
ENSG00000205231	1	1173056	1179555	-	6500	0
ENSG00000162571	1	1173884	1197935	+	24052	22
ENSG00000186891	1	1203508	1206691	-	3184	10
ENSG00000186827	1	1211326	1214138	-	2813	30
ENSG00000078808	1	1216908	1232031	-	15124	7213
ENSG00000176022	1	1232265	1235041	+	2777	1637
ENSG00000184163	1	1242446	1246722	-	4277	39
ENSG00000260179	1	1249777	1251334	-	1558	21
ENSG00000160087	1	1253909	1273885	-	19977	2903
ENSG00000230415	1	1275223	1280420	+	5198	370
ENSG00000162572	1	1280436	1292029	+	11594	2408
ENSG00000131584	1	1292376	1309609	-	17234	31997
ENSG00000278073	1	1296110	1296170	-	61	0
ENSG00000169972	1	1308567	1311677	+	3111	313
ENSG00000127054	1	1311585	1324691	-	13107	7008
ENSG00000274153	1	1312502	1312566	-	65	0
ENSG00000240731	1	1317581	1318689	-	1109	0
ENSG00000224051	1	1324756	1328897	+	4142	1445
ENSG00000169962	1	1331314	1335306	+	3993	59
ENSG00000107404	1	1335276	1349350	-	14075	11159
ENSG00000275884	1	1339650	1339708	-	59	0
ENSG00000162576	1	1352689	1361777	-	9089	3516
ENSG00000175756	1	1373730	1375495	-	1766	4896
ENSG00000223663	1	1378666	1379032	+	367	8
ENSG00000221978	1	1385711	1399338	-	13628	9043
ENSG00000224870	1	1399522	1402046	+	2525	1223
ENSG00000242485	1	1401908	1407313	-	5406	3689
ENSG00000264293	1	1405460	1405752	-	293	0
ENSG00000272455	1	1409096	1410618	+	1523	288
ENSG00000235098	1	1418420	1421769	-	3350	951
ENSG00000225905	1	1420245	1422691	+	2447	48
ENSG00000205116	1	1426128	1427787	+	1660	232
ENSG00000225285	1	1430539	1434573	-	4035	39
ENSG00000179403	1	1434861	1442882	+	8022	3054
ENSG00000215915	1	1449689	1470158	+	20470	484
ENSG00000160072	1	1471769	1497848	+	26080	1849
ENSG00000197785	1	1512151	1534687	+	22537	1612
ENSG00000205090	1	1535174	1540453	-	5280	1712
ENSG00000160075	1	1541673	1574869	-	33197	9525
ENSG00000215014	1	1574975	1577075	+	2101	97
ENSG00000279244	1	1579756	1580046	+	291	2
ENSG00000274481	1	1583510	1583909	-	400	0
ENSG00000228594	1	1598011	1600096	-	2086	982
ENSG00000272106	1	1613758	1615795	-	2038	3510
ENSG00000197530	1	1615415	1630610	+	15196	5722
ENSG00000189409	1	1632095	1701810	+	69716	8
ENSG00000248333	1	1635227	1722818	-	87592	55
ENSG00000272004	1	1659325	1662602	+	3278	0
ENSG00000189339	1	1659529	1692728	-	33200	0
ENSG00000269737	1	1671990	1673411	+	1422	0
ENSG00000269227	1	1673275	1674397	+	1123	0
ENSG00000215914	1	1699942	1701782	+	1841	0
ENSG00000008128	1	1702730	1724324	-	21595	0
ENSG00000268575	1	1702736	1737688	-	34953	2
ENSG00000227775	1	1724512	1737251	+	12740	0
ENSG00000215790	1	1724838	1745992	-	21155	180
ENSG00000008130	1	1751232	1780457	-	29226	3632
ENSG00000078369	1	1785285	1891117	-	105833	56046
ENSG00000231050	1	1891471	1892658	+	1188	166
ENSG00000169885	1	1914827	1917296	+	2470	135
ENSG00000178821	1	1917590	1919273	-	1684	42
ENSG00000142609	1	1921951	2003837	-	81887	1567
ENSG00000233542	1	2013213	2015530	-	2318	59
ENSG00000187730	1	2019324	2030751	+	11428	9659
ENSG00000226969	1	2049203	2050070	-	868	0
