# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap/SNF2_3_Aligned_counts.txt" "./databases/alignment/SNF2_3_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/SNF2_3_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	7648
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	2
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	44
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	6
YAL064W-B	chrI	12046	12426	+	381	10
YAL064C-A	chrI	13363	13743	-	381	45
YAL064W	chrI	21566	21850	+	285	8
YAL063C-A	chrI	22395	22685	-	291	8
YAL063C	chrI	24000	27968	-	3969	199
YAL062W	chrI	31567	32940	+	1374	628
YAL061W	chrI	33448	34701	+	1254	568
YAL060W	chrI	35155	36303	+	1149	1639
YAL059C-A	chrI	36496	36918	-	423	72
YAL059W	chrI	36509	37147	+	639	172
YAL058W	chrI	37464	38972	+	1509	450
YAL056C-A	chrI	38696	39046	-	351	136
YAL056W	chrI	39259	41901	+	2643	1576
YAL055W	chrI	42177	42719	+	543	471
YAL054C	chrI	42881	45022	-	2142	391
YAL053W	chrI	45899	48250	+	2352	5081
YAL051W	chrI	48564	51707	+	3144	602
YAL049C	chrI	51855	52595	-	741	977
YAL048C	chrI	52801	54789	-	1989	192
YAL047W-A	chrI	54584	54913	+	330	21
YAL047C	chrI	54989	56857	-	1869	238
YAL046C	chrI	57029	57385	-	357	304
YAL045C	chrI	57488	57796	-	309	415
YAL044W-A	chrI	57518	57850	+	333	477
YAL044C	chrI	57950	58462	-	513	997
YAL043C	chrI	58695	61052	-	2358	1031
YAL042C-A	chrI	61231	61608	-	378	1324
YAL042W	chrI	61316	62563	+	1248	5785
YAL041W	chrI	62840	65404	+	2565	716
YAL040C	chrI	65778	67520	-	1743	852
YAL039C	chrI	68716	69525	-	810	2123
YAL038W	chrI	71786	73288	+	1503	79234
YAL037C-B	chrI	72326	73300	-	975	63698
YAL037C-A	chrI	73426	73518	-	93	26
YAL037W	chrI	74020	74823	+	804	80
YAL036C	chrI	75043	76152	-	1110	499
YAL035W	chrI	76427	79435	+	3009	4492
YAL034C-B	chrI	79489	79842	-	354	64
YAL034W-A	chrI	79718	80587	+	870	175
YAL034C	chrI	80710	81951	-	1242	710
YAL033W	chrI	82706	83227	+	522	234
YAL032C	chrI	83335	84474	-	1140	751
YAL031W-A	chrI	84669	84977	+	309	202
YAL031C	chrI	84749	87031	-	2283	835
YAL030W	chrI	87286	87387	+	102	215
YAL030W	chrI	87501	87752	+	252	742
YAL029C	chrI	87855	92270	-	4416	1443
YAL028W	chrI	92900	94486	+	1587	578
YAL027W	chrI	94687	95472	+	786	274
YAL026C-A	chrI	95386	95823	-	438	414
YAL026C	chrI	95630	99697	-	4068	1389
YAL025C	chrI	100225	101145	-	921	408
YAL024C	chrI	101565	105872	-	4308	323
YAL023C	chrI	106272	108551	-	2280	4216
YAL022C	chrI	108877	110430	-	1554	1285
YAL021C	chrI	110846	113359	-	2514	1102
YAL020C	chrI	113614	114615	-	1002	1088
YAL019W-A	chrI	114250	114819	+	570	495
YAL019W	chrI	114919	118314	+	3396	628
YAL018C	chrI	118564	119541	-	978	0
YAL017W	chrI	120225	124295	+	4071	1595
YAL016C-B	chrI	124307	124492	-	186	146
YAL016C-A	chrI	124755	125069	-	315	151
YAL016W	chrI	124879	126786	+	1908	2034
YAL015C	chrI	126903	128102	-	1200	645
YAL014C	chrI	128252	129019	-	768	1356
YAL013W	chrI	129270	130487	+	1218	1543
YAL011W	chrI	132199	134076	+	1878	614
YAL010C	chrI	134184	135665	-	1482	377
YAL009W	chrI	135854	136633	+	780	443
YAL008W	chrI	136914	137510	+	597	560
YAL007C	chrI	137698	138345	-	648	1374
YAL005C	chrI	139503	141431	-	1929	6373
YAL004W	chrI	140760	141407	+	648	669
YAL003W	chrI	142174	142253	+	80	518
YAL003W	chrI	142620	143160	+	541	6256
YAL002W	chrI	143707	147531	+	3825	616
YAL001C	chrI	147594	151006	-	3413	826
YAL001C	chrI	151097	151166	-	70	3
YAR002W	chrI	152257	153876	+	1620	790
YAR002C-A	chrI	154065	154724	-	660	2078
YAR003W	chrI	155005	156285	+	1281	602
YAR007C	chrI	156754	158619	-	1866	997
YAR008W	chrI	158966	159793	+	828	343
YAR009C	chrI	160597	164187	-	3591	6
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	1098
YAR015W	chrI	169375	170295	+	921	1418
YAR018C	chrI	170396	171703	-	1308	366
YAR019C	chrI	172211	175135	-	2925	356
YAR019W-A	chrI	174998	175330	+	333	10
YAR020C	chrI	176856	177023	-	168	57
YAR023C	chrI	179281	179820	-	540	115
YAR027W	chrI	183770	184477	+	708	1005
YAR028W	chrI	184892	185596	+	705	405
YAR029W	chrI	186321	186545	+	225	36
YAR030C	chrI	186512	186853	-	342	46
YAR031W	chrI	186836	187732	+	897	70
YAR033W	chrI	188107	188811	+	705	99
YAR035W	chrI	190193	192256	+	2064	491
YAR035C-A	chrI	192337	192417	-	81	0
YAR042W	chrI	192619	196185	+	3567	1846
YAR047C	chrI	201467	201787	-	321	4
YAR050W	chrI	203403	208016	+	4614	171
YAR053W	chrI	208367	208663	+	297	13
