# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "--primary" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap_primary/SNF2_4_Aligned_counts.txt" "./databases/alignment/SNF2_4_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/SNF2_4_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	8119
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	1
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	90
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	3
YAL064W-B	chrI	12046	12426	+	381	9
YAL064C-A	chrI	13363	13743	-	381	61
YAL064W	chrI	21566	21850	+	285	19
YAL063C-A	chrI	22395	22685	-	291	14
YAL063C	chrI	24000	27968	-	3969	243
YAL062W	chrI	31567	32940	+	1374	763
YAL061W	chrI	33448	34701	+	1254	713
YAL060W	chrI	35155	36303	+	1149	2086
YAL059C-A	chrI	36496	36918	-	423	104
YAL059W	chrI	36509	37147	+	639	220
YAL058W	chrI	37464	38972	+	1509	503
YAL056C-A	chrI	38696	39046	-	351	153
YAL056W	chrI	39259	41901	+	2643	2144
YAL055W	chrI	42177	42719	+	543	610
YAL054C	chrI	42881	45022	-	2142	727
YAL053W	chrI	45899	48250	+	2352	6839
YAL051W	chrI	48564	51707	+	3144	770
YAL049C	chrI	51855	52595	-	741	1178
YAL048C	chrI	52801	54789	-	1989	215
YAL047W-A	chrI	54584	54913	+	330	34
YAL047C	chrI	54989	56857	-	1869	362
YAL046C	chrI	57029	57385	-	357	390
YAL045C	chrI	57488	57796	-	309	528
YAL044W-A	chrI	57518	57850	+	333	619
YAL044C	chrI	57950	58462	-	513	1033
YAL043C	chrI	58695	61052	-	2358	1216
YAL042C-A	chrI	61231	61608	-	378	1513
YAL042W	chrI	61316	62563	+	1248	6582
YAL041W	chrI	62840	65404	+	2565	1026
YAL040C	chrI	65778	67520	-	1743	1057
YAL039C	chrI	68716	69525	-	810	2636
YAL038W	chrI	71786	73288	+	1503	80487
YAL037C-B	chrI	72326	73300	-	975	64327
YAL037C-A	chrI	73426	73518	-	93	77
YAL037W	chrI	74020	74823	+	804	107
YAL036C	chrI	75043	76152	-	1110	577
YAL035W	chrI	76427	79435	+	3009	5438
YAL034C-B	chrI	79489	79842	-	354	115
YAL034W-A	chrI	79718	80587	+	870	282
YAL034C	chrI	80710	81951	-	1242	1004
YAL033W	chrI	82706	83227	+	522	354
YAL032C	chrI	83335	84474	-	1140	1029
YAL031W-A	chrI	84669	84977	+	309	273
YAL031C	chrI	84749	87031	-	2283	1233
YAL030W	chrI	87286	87387	+	102	337
YAL030W	chrI	87501	87752	+	252	984
YAL029C	chrI	87855	92270	-	4416	1779
YAL028W	chrI	92900	94486	+	1587	815
YAL027W	chrI	94687	95472	+	786	416
YAL026C-A	chrI	95386	95823	-	438	625
YAL026C	chrI	95630	99697	-	4068	1911
YAL025C	chrI	100225	101145	-	921	535
YAL024C	chrI	101565	105872	-	4308	479
YAL023C	chrI	106272	108551	-	2280	4978
YAL022C	chrI	108877	110430	-	1554	1617
YAL021C	chrI	110846	113359	-	2514	1393
