# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "--primary" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap_primary/WT_5_Aligned_counts.txt" "./databases/alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/WT_5_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	4167
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	2
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	29
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	3
YAL064W-B	chrI	12046	12426	+	381	8
YAL064C-A	chrI	13363	13743	-	381	25
YAL064W	chrI	21566	21850	+	285	3
YAL063C-A	chrI	22395	22685	-	291	7
YAL063C	chrI	24000	27968	-	3969	132
YAL062W	chrI	31567	32940	+	1374	348
YAL061W	chrI	33448	34701	+	1254	1563
YAL060W	chrI	35155	36303	+	1149	1160
YAL059C-A	chrI	36496	36918	-	423	221
YAL059W	chrI	36509	37147	+	639	407
YAL058W	chrI	37464	38972	+	1509	343
YAL056C-A	chrI	38696	39046	-	351	111
YAL056W	chrI	39259	41901	+	2643	1086
YAL055W	chrI	42177	42719	+	543	304
YAL054C	chrI	42881	45022	-	2142	252
YAL053W	chrI	45899	48250	+	2352	2330
YAL051W	chrI	48564	51707	+	3144	464
YAL049C	chrI	51855	52595	-	741	515
YAL048C	chrI	52801	54789	-	1989	157
YAL047W-A	chrI	54584	54913	+	330	24
YAL047C	chrI	54989	56857	-	1869	202
YAL046C	chrI	57029	57385	-	357	256
YAL045C	chrI	57488	57796	-	309	300
YAL044W-A	chrI	57518	57850	+	333	333
YAL044C	chrI	57950	58462	-	513	1107
YAL043C	chrI	58695	61052	-	2358	788
YAL042C-A	chrI	61231	61608	-	378	1332
YAL042W	chrI	61316	62563	+	1248	4211
YAL041W	chrI	62840	65404	+	2565	663
YAL040C	chrI	65778	67520	-	1743	865
YAL039C	chrI	68716	69525	-	810	1520
YAL038W	chrI	71786	73288	+	1503	82085
YAL037C-B	chrI	72326	73300	-	975	61833
YAL037C-A	chrI	73426	73518	-	93	65
YAL037W	chrI	74020	74823	+	804	51
YAL036C	chrI	75043	76152	-	1110	697
YAL035W	chrI	76427	79435	+	3009	4910
YAL034C-B	chrI	79489	79842	-	354	66
YAL034W-A	chrI	79718	80587	+	870	144
YAL034C	chrI	80710	81951	-	1242	387
YAL033W	chrI	82706	83227	+	522	284
YAL032C	chrI	83335	84474	-	1140	473
YAL031W-A	chrI	84669	84977	+	309	98
YAL031C	chrI	84749	87031	-	2283	549
YAL030W	chrI	87286	87387	+	102	149
YAL030W	chrI	87501	87752	+	252	365
YAL029C	chrI	87855	92270	-	4416	1219
YAL028W	chrI	92900	94486	+	1587	316
YAL027W	chrI	94687	95472	+	786	295
YAL026C-A	chrI	95386	95823	-	438	217
YAL026C	chrI	95630	99697	-	4068	984
YAL025C	chrI	100225	101145	-	921	1326
YAL024C	chrI	101565	105872	-	4308	214
YAL023C	chrI	106272	108551	-	2280	3339
YAL022C	chrI	108877	110430	-	1554	949
YAL021C	chrI	110846	113359	-	2514	1075
YAL020C	chrI	113614	114615	-	1002	849
YAL019W-A	chrI	114250	114819	+	570	451
YAL019W	chrI	114919	118314	+	3396	873
YAL018C	chrI	118564	119541	-	978	7
YAL017W	chrI	120225	124295	+	4071	853
YAL016C-B	chrI	124307	124492	-	186	37
YAL016C-A	chrI	124755	125069	-	315	169
YAL016W	chrI	124879	126786	+	1908	1590
YAL015C	chrI	126903	128102	-	1200	352
YAL014C	chrI	128252	129019	-	768	948
YAL013W	chrI	129270	130487	+	1218	1083
YAL011W	chrI	132199	134076	+	1878	377
YAL010C	chrI	134184	135665	-	1482	266
YAL009W	chrI	135854	136633	+	780	255
YAL008W	chrI	136914	137510	+	597	298
YAL007C	chrI	137698	138345	-	648	848
YAL005C	chrI	139503	141431	-	1929	4827
YAL004W	chrI	140760	141407	+	648	821
YAL003W	chrI	142174	142253	+	80	1245
YAL003W	chrI	142620	143160	+	541	10339
YAL002W	chrI	143707	147531	+	3825	445
YAL001C	chrI	147594	151006	-	3413	404
YAL001C	chrI	151097	151166	-	70	5
YAR002W	chrI	152257	153876	+	1620	836
YAR002C-A	chrI	154065	154724	-	660	1347
YAR003W	chrI	155005	156285	+	1281	491
YAR007C	chrI	156754	158619	-	1866	518
YAR008W	chrI	158966	159793	+	828	189
YAR009C	chrI	160597	164187	-	3591	41
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	927
YAR015W	chrI	169375	170295	+	921	2056
YAR018C	chrI	170396	171703	-	1308	290
YAR019C	chrI	172211	175135	-	2925	259
YAR019W-A	chrI	174998	175330	+	333	13
YAR020C	chrI	176856	177023	-	168	29
YAR023C	chrI	179281	179820	-	540	76
YAR027W	chrI	183770	184477	+	708	638
YAR028W	chrI	184892	185596	+	705	291
YAR029W	chrI	186321	186545	+	225	46
YAR030C	chrI	186512	186853	-	342	51
YAR031W	chrI	186836	187732	+	897	95
YAR033W	chrI	188107	188811	+	705	79
YAR035W	chrI	190193	192256	+	2064	150
YAR035C-A	chrI	192337	192417	-	81	2
YAR042W	chrI	192619	196185	+	3567	947
YAR047C	chrI	201467	201787	-	321	8
YAR050W	chrI	203403	208016	+	4614	152
YAR053W	chrI	208367	208663	+	297	9
YAR060C	chrI	217157	217492	-	336	0
YAR064W	chrI	220198	220497	+	300	2
YAR066W	chrI	221049	221660	+	612	1
YAR068W	chrI	222406	222891	+	486	3
YAR069C	chrI	224011	224304	-	294	0
YAR070C	chrI	224563	224862	-	300	0
YAR071W	chrI	225460	226863	+	1404	187
YAR073W	chrI	227742	228953	+	1212	12
YAR075W	chrI	228844	229317	+	474	6
Q0010	chrM	3952	4338	+	387	0
Q0017	chrM	4254	4415	+	162	0
Q0032	chrM	11667	11957	+	291	0
Q0045	chrM	13818	13986	+	169	2
Q0045	chrM	16435	16470	+	36	0
Q0045	chrM	18954	18991	+	38	0
Q0045	chrM	20508	20984	+	477	1
Q0045	chrM	21995	22246	+	252	0
Q0045	chrM	23612	23746	+	135	1
Q0045	chrM	25318	25342	+	25	0
Q0045	chrM	26229	26701	+	473	1
Q0070	chrM	13818	13986	+	169	2
